stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,67.43,1189.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,30.65,0,0,0,0,0,0,0
  7-9,18.4,13.14,36.8,0,0,84.12,0,0,0,18.4,0,0,0,0,0,0,523.11,31.54,0,194.52,0,0,0,0,0,0,0,0
 10-12,0,22.03,9.44,0,6.29,66.09,0,0,0,9.44,0,0,0,0,0,3.15,374.49,31.47,0,173.08,3.15,3.15,0,18.88,0,0,0,0
 14-21,0,0,0,3,0,1,0,1,0,0,0,1,0,0,2,1,11,0,0,0,0,0,2,0,1,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,7.39,0,0,0,0,0,0,0,0.82,4.1,0,0
 36-46,0,0,0,0,0,4.03,0,0.81,0,0,0,0,0,0,0.81,0,9.67,0,0,0,0,0,0,0,0.81,0.81,0,0
 48-58,0,0,0,0,0,12.05,0,0,0,0,0,0,0,0,1.72,0,9.75,0,0,0,0,0,0,0,0,2.3,0,0.57
 60-70,0,0,0,0,0,84.41,0.98,0.98,0.98,0,0,0,0,0,0.98,0,10.8,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,164.92,0,7.85,0,0,1.96,0,0.98,0,3.93,0,25.52,0,0.98,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,123.2,0,11.68,0,0,0,0,0,0,3.19,2.12,11.68,0,0,0,1.06,0,0,0,0,2.12,1.06,0
 96-106,0,0,0,1.09,0,123.49,0,3.28,1.09,0,0,0,0,0,3.28,0,12.02,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,61.28,0,1.53,0,0,0,0,0,0.77,2.3,0,9.19,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,31.36,0,1.96,0,0,0,0,0,0,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0
