stage,epidermis,eye,fin.mesenchyme,immune,iridophores,mesenchyme,neural,olfactory,presomitic.mesoderm,pronephros,spinal.cord,taste
 14-21,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,5.75,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,10.47,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,11.48,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,6.87,0,0,0,0
 72-82,0,0.98,0,0,0.98,0,0,28.47,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,21.24,0,1.06,1.06,0
 96-106,0,1.09,0,2.19,0,1.09,4.37,41.53,0,0,0,0
108-118,0.77,2.3,0,0,0.77,0,0.77,36,0,0.77,0,0.77
120,0,0,0,0,0,0,0,29.4,0,0,0,0
