stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,78.86,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,6.29,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,26,13,0,21,0,0,0,1,0,2,1,0,0,0,0,0,1,17,0,0,7,124,1,0,2,3,0,5,1,17,2,2,33,43,0,0,0,0
 24-34,0,0,0,5.75,13.95,0,0,32.83,0.82,0.82,0,0,0.82,0,4.1,0.82,0,0,0,0,0,31.19,0,0,8.21,137.9,0.82,0,0.82,0,0,9.85,0,0,0,0.82,8.21,26.27,0,2.46,0,1.64
 36-46,0,0,0,0,6.45,0,0,8.86,0,0,0,3.22,0,0,1.61,0,0,4.03,0,0.81,0,20.14,0,0,1.61,96.68,0.81,0,0,0,0,11.28,0,0,0,0,0,24.98,0,0,0,0
 48-58,0,0,0,0,16.07,0,0,10.33,0,3.44,1.15,4.59,0,0,1.15,0,0,0,0,0.57,0.57,21.23,0.57,0,2.87,123.37,0,0.57,0,0,0.57,2.87,0,0,0,0,0,26.4,0,0,0,0
 60-70,0,0,0,0,22.58,0,0,7.85,0,0.98,2.94,2.94,0.98,0,2.94,0,0,0,0.98,0,0,49.08,0,0,5.89,197.29,0.98,0,0,0,0.98,1.96,0,0,0,0,0,40.24,2.94,0,1.96,1.96
 72-82,0,0,0,0,35.34,0.98,0,23.56,0,3.93,0,10.8,0.98,0,0.98,0.98,0,0,0,0,0,95.22,0.98,1.96,5.89,196.33,0,0.98,0,0,0.98,2.94,0,0,0,0,0,32.39,1.96,0,0,0
 84-94,0,0,0,0,38.23,1.06,0,16.99,0,3.19,2.12,4.25,0,0,1.06,2.12,0,0,0,0,0,60.54,0,4.25,2.12,87.09,0,0,0,0,0,18.05,0,0,0,0,0,18.05,3.19,0,5.31,0
 96-106,0,0,0,0,57.92,1.09,0,17.49,0,13.11,4.37,8.74,1.09,0,1.09,1.09,1.09,0,0,0,0,49.18,1.09,4.37,5.46,59.01,0,0,1.09,0,1.09,9.84,0,0,1.09,0,0,6.56,1.09,1.09,7.65,0
108-118,0,0,0.77,0,66.64,2.3,1.53,4.6,0,19.15,0,3.83,1.53,0,3.06,2.3,0,0,0,0,0.77,44.43,1.53,2.3,2.3,66.64,0,0,1.53,0,0.77,9.19,0,0,0,0,0,3.83,0.77,0,1.53,0
120,0,0,0,0,117.59,1.96,0,3.92,0,21.56,0,7.84,1.96,0,3.92,1.96,0,0,1.96,0,0,31.36,0,7.84,3.92,76.43,0,0,0,0,0,11.76,0,0,0,0,0,7.84,1.96,0,3.92,0
