stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,mesenchyme,neural,spinal_cord
  5-6,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0
 24-34,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,4.83,0.81
 48-58,0,0,0,0,0,1.72,0.57,0,4.02,0
 60-70,0,0,0,0,0,26.5,0,0,19.63,1.96
 72-82,0,0,0,0,0,15.71,2.94,2.94,31.41,0
 84-94,0,0,0,0,0,18.05,1.06,0,12.74,0
 96-106,0,0,1.09,0,0,12.02,1.09,0,14.21,0
108-118,0,0.77,0.77,0.77,0.77,6.89,1.53,0.77,12.26,0
120,0,0,0,0,0,5.88,0,0,5.88,1.96
