stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,2.63,0,2.63,0,0,39.43,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,37.76,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.93,0,0,0.82,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,0,4.83,0,0,0.81,0,8.06,0,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,9.18,0,0,0,0,0.57,0,0,1.72,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,6.87,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,2.12,1.06,0,1.06,0,5.31,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,2.19,0,1.09,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
