stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,3083.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,1268.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,18.39,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,26.29,0,26.29,0,0,34.17,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,417.97,7.89,0,0,197.15,0,5.26,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,31.47,0,0,47.2,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,550.72,37.76,0,0,229.73,0,0,0,0,28.32,0,0,0,0,0,0,0
 14-21,0,0,0,2,11,0,0,0,0,1,5,0,0,0,1,0,0,0,0,4,0,0,6,47,2,1,2,1,0,1,0,3,1,0,6,17,0,1,0,0
 24-34,0,0,0.82,0,3.28,0.82,8.21,0,0,4.1,0,0,0,0.82,0.82,0,0.82,0,0,5.75,0,0,3.28,82.09,0,4.1,0.82,0,0,0.82,0,0,0,0,0.82,30.37,0,2.46,0,1.64
 36-46,0,0,0,0,1.61,0,17.72,0,1.61,3.22,0,0,0,0,0,0,0,0,0.81,8.86,0,0,2.42,54.79,1.61,0.81,0.81,0,0,1.61,0,0,0,0,0,20.95,0,4.03,0,0.81
 48-58,0,0,0,0,1.15,0.57,19.51,0.57,1.15,8.03,0,0.57,0.57,0,0.57,0.57,0.57,0,0,6.89,0,0,0.57,55.09,0.57,1.15,0,0,0,0.57,0,0,0,0.57,0,11.48,0.57,0.57,0,0.57
 60-70,0,0,0,0,3.93,0.98,39.26,0,0,13.74,0.98,0,0,0,0,0.98,0,0.98,0,14.72,0.98,0,2.94,46.13,0,0.98,0.98,0.98,0,2.94,0,0,0.98,0,0,5.89,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,0,42.21,0.98,1.96,11.78,0.98,0,0,1.96,0.98,0.98,0.98,0,1.96,26.5,0.98,0,2.94,81.48,0.98,0,3.93,0,0.98,1.96,0,0,0,0,0,2.94,0,2.94,1.96,0
 84-94,0,0,0,0,2.12,0,27.61,0,0,9.56,0,0,0,3.19,1.06,0,0,0,0,11.68,0,2.12,1.06,27.61,0,0,0,0,1.06,2.12,0,0,0,0,0,1.06,0,2.12,0,1.06
 96-106,0,0,0,0,1.09,0,18.58,1.09,2.19,4.37,0,0,0,3.28,0,1.09,1.09,0,0,10.93,0,0,4.37,19.67,1.09,0,0,0,0,4.37,0,0,1.09,0,0,0,0,4.37,1.09,0
108-118,0,0,0,0,1.53,0,12.26,0,0.77,4.6,3.06,0,0,0.77,2.3,0,0,0.77,0,6.13,0,0,0.77,25.28,0,0,1.53,0,0,2.3,0,0,0,0,0,0,0,3.83,0,0
120,0,0,0,0,3.92,0,13.72,1.96,0,1.96,0,0,0,5.88,1.96,0,0,0,0,1.96,1.96,0,1.96,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0
