stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,5,0,0,0,23,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,4.1,0,0.82,15.6,0,0,0.82,28.73,0,2.46
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,5.64,0,0.81,22.56,0,0,0,49.15,0,0
 48-58,0,0,0,0,0,3.44,0,0,0,2.3,0,0,0,5.74,0,2.87,34.43,0,0,0.57,42.46,0,0.57
 60-70,0,0,0.98,2.94,0,9.82,0,0,0,0,0,0,0,14.72,0,4.91,93.24,0.98,0,0,42.21,0.98,0
 72-82,0,0,3.93,3.93,0.98,6.87,0.98,0,0,0.98,1.96,0,0,17.67,0.98,4.91,63.81,0,0,0,18.65,0,0
 84-94,0,0,4.25,5.31,0,15.93,2.12,0,1.06,2.12,2.12,0,0,11.68,0,3.19,37.17,0,0,0,6.37,0,0
 96-106,0,0,2.19,1.09,0,6.56,0,0,0,5.46,0,0,1.09,7.65,0,3.28,26.23,1.09,2.19,0,1.09,0,0
108-118,0,0,0,1.53,0,3.06,0.77,0.77,0,4.6,0.77,0.77,0,6.89,0,2.3,19.92,0.77,0,0,6.13,0,0
120,0,0,1.96,5.88,0,5.88,1.96,0,0,1.96,0,0,0,5.88,0,0,41.16,0,0,0,7.84,0,0
