stage,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
 24-34,7.39,0,0,0,0,0,0,0,0,1.64,0,0,0.82,16.42,2.46,0,0,0,0.82,4.1,0,0,0,0
 36-46,7.25,0.81,0,0,0,1.61,0,0,0,0.81,0,0,0,46.73,2.42,0,0,0,2.42,8.06,0,0,0,0
 48-58,5.74,0.57,3.44,0,0,0,0,0,0,0.57,0,0.57,0,38.44,1.72,0,0,0,2.87,5.74,0,0,0,0
 60-70,2.94,0,47.11,0,0,0.98,0,0,0,0,0,1.96,0,68.71,0,0,0,0,0,5.89,0,0,0,0.98
 72-82,4.91,0.98,77.55,0.98,0,6.87,0.98,0.98,0,4.91,0.98,0,0.98,77.55,1.96,0,0.98,0,0,10.8,0.98,0,0,1.96
 84-94,11.68,0,31.86,0,1.06,3.19,1.06,0,1.06,3.19,0,0,0,40.36,2.12,0,0,0,1.06,3.19,0,3.19,0,4.25
 96-106,6.56,3.28,31.69,0,0,4.37,1.09,0,1.09,7.65,0,0,0,37.16,2.19,0,1.09,0,1.09,2.19,0,0,1.09,3.28
108-118,2.3,0.77,19.15,0,0,3.83,1.53,0,1.53,6.89,0,0,0.77,58.98,0,0.77,0,1.53,0,3.83,0,0,0,3.06
120,1.96,0,9.8,1.96,0,3.92,0,0,0,1.96,0,0,1.96,111.71,1.96,0,0,1.96,0,5.88,0,0,0,0
