stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12,0,2,0,1,0,0,2,1,0,0,0,0,0,0,4,0,0,1,16,1,0,0,1,0,13,1,0,1,2,14,0,0,0,0,0
 24-34,0,0,0.82,0,11.49,0.82,2.46,0,3.28,0.82,0.82,0,0.82,0,1.64,0,0,0,0,14.78,0,0,7.39,167.45,0,0,0,0,0,9.03,0,0,0,0.82,68.95,0,0,12.31,0,0.82
 36-46,0,0,0,0,4.03,0.81,6.45,0,2.42,2.42,4.03,0.81,1.61,0.81,0,0,0,0.81,1.61,16.11,0,0.81,4.03,386.72,0.81,0,0,0,0,12.09,0,0.81,0,0,116.02,0,0,5.64,0,0.81
 48-58,0,0,0,0,2.3,0,45.9,0.57,0.57,4.59,9.18,1.15,2.3,0,0,0.57,1.72,1.15,2.87,47.63,0,1.72,4.59,549.71,0.57,2.3,2.3,0,0,9.75,0,0.57,0,0,119.93,0,0.57,5.16,0,1.15
 60-70,0,0,0,0,2.94,0,171.77,0,1.96,4.91,43.19,0,3.93,0,0.98,0.98,0,0.98,1.96,72.63,0,2.94,4.91,915.76,0.98,1.96,0.98,0,1.96,7.85,0,0,0,0,124.65,0,2.94,5.89,0.98,4.91
 72-82,0,0,4.91,0.98,11.78,2.94,296.46,0,2.94,8.83,77.55,0.98,4.91,0.98,0,1.96,0,0.98,1.96,138.41,0,6.87,5.89,996.39,0,1.96,1.96,0,4.91,9.82,0,0.98,0,0,99.15,0.98,9.82,16.69,3.93,2.94
 84-94,0,0,0,0,10.62,1.06,169.93,0,5.31,1.06,46.73,0,2.12,0,0,4.25,0,0,2.12,82.84,0,4.25,4.25,500.22,0,3.19,3.19,0,3.19,13.81,0,0,0,0,43.54,1.06,7.43,7.43,11.68,1.06
 96-106,0,0,1.09,0,12.02,1.09,156.28,0,4.37,7.65,50.27,0,0,1.09,2.19,2.19,1.09,2.19,4.37,81.96,0,1.09,3.28,393.42,0,3.28,2.19,0,1.09,4.37,0,0,0,0,25.14,0,6.56,9.84,4.37,3.28
108-118,0,0,0.77,0.77,13.02,0.77,108.77,0,3.83,4.6,30.64,1.53,0,3.06,2.3,2.3,0,1.53,1.53,62.81,0.77,1.53,4.6,413.62,0,3.83,9.19,0,1.53,9.19,0,0,0,0,14.55,0,11.49,7.66,8.43,3.83
120,0,0,1.96,3.92,1.96,0,60.75,0,3.92,0,31.36,0,0,0,0,3.92,0,0,3.92,52.91,0,5.88,1.96,399.8,0,0,7.84,0,0,5.88,0,0,0,0,19.6,1.96,3.92,7.84,5.88,0
