stage,epidermis,eye,fast.muscle,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,slow.muscle,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,2.3,0.57,0
 60-70,0,2.94,0,0,0,0.98,0,0,0,3.93,0,0
 72-82,0.98,2.94,2.94,0,0,0.98,0.98,0,0,3.93,0.98,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,3.19,1.06,0
 96-106,0,3.28,13.11,0,1.09,5.46,0,1.09,0,2.19,7.65,0
108-118,0.77,0.77,3.83,0.77,0,9.96,0.77,0,1.53,5.36,4.6,0
120,0,1.96,5.88,0,0,13.72,0,0,0,0,5.88,0
