stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0.81,4.03,0,0,0.81,0,0,0.81,0,0,0.81
 48-58,0,0,0,0,2.87,6.89,0,0,0,0,0,0.57,1.15,0,0,0.57,9.75,0,0,0,0,0,5.74,0,0,0
 60-70,0,0,0,0,1.96,4.91,0.98,0,0,0.98,0,0,1.96,0,1.96,2.94,3.93,0,0,0.98,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,8.83,14.72,0,0,0.98,0,0,0,2.94,0.98,0,1.96,6.87,0,0,0,0.98,0,0.98,0,0,0
 84-94,0,1.06,2.12,0,4.25,18.05,0,0,0,0,0,0,1.06,1.06,0,5.31,2.12,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,1.09,2.19,0,5.46,69.94,1.09,0,0,2.19,1.09,0,5.46,0,1.09,4.37,7.65,0,0,0,0,0,1.09,1.09,1.09,0
108-118,0,2.3,0.77,0.77,3.83,85.79,0.77,0.77,0,0,3.06,0,5.36,0.77,0,11.49,9.19,0.77,0.77,0,0,0,0,0,0,0
120,0,0,0,0,1.96,29.4,0,1.96,0,0,1.96,0,1.96,0,0,3.92,7.84,0,0,0,0,0,0,0,0,0
