stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,1.64,1.64,3.28,0,0,0,6.57,0,0,3.28,0,0.82,1.64,0,0,0.82,0.82,0,0,12.31,0,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,0,6.45,0,0,5.64,0,0,0,0,0.81,0,0,0,0,6.45,0,0,0,0,0,0,0,1.61,0,0.81,0,0
 48-58,0,0.57,0.57,0,0,1.72,0,2.87,0.57,0,5.16,0,0.57,0,0,0.57,1.15,0,0,0.57,12.62,0,0,0,0,0,0,0,2.87,0,0,0,0.57
 60-70,0,3.93,0,0,0,0,0,2.94,0,0,23.56,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,22.58,0,1.96,1.96,0.98,0,1.96,0.98,1.96,94.24,0,0,0,0.98,1.96,4.91,0.98,1.96,0,26.5,0.98,0,0,0,0,0,0,0.98,8.83,0.98,0,0
 84-94,0,18.05,1.06,2.12,0,4.25,0,3.19,1.06,1.06,177.36,0,0,0,0,0,1.06,0,0,0,7.43,1.06,0,0,0,0,0,0,0,11.68,0,0,0
 96-106,0,14.21,0,8.74,0,6.56,0,4.37,0,1.09,217.48,0,0,0,0,0,2.19,1.09,0,0,30.6,1.09,1.09,0,1.09,1.09,0,0,1.09,20.76,2.19,2.19,1.09
108-118,0,10.72,0.77,4.6,0.77,0.77,0,5.36,0,0.77,217.53,0,0,0,0,0.77,5.36,2.3,0,0,33.7,0,0,0,0,0.77,0.77,0.77,0.77,26.81,0.77,0,0
120,0,3.92,1.96,7.84,0,1.96,1.96,3.92,0,0,145.02,0,0,0,0,0,3.92,0,0,0,23.52,1.96,0,0,0,0,0,0,0,11.76,0,0,0
