stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,3,0,0,0
 24-34,0,1.64,0.82,0,0.82,0,0,0,0,0,0.82,0,0,0.82,18.88,0,0.82,0,0,22.16,0,0.82,4.1,0,2.46,0
 36-46,0,0.81,4.03,0,1.61,0,0,0,0,0,2.42,0,0,1.61,15.31,0.81,0,0,0,28.2,0,0,2.42,0,0,0
 48-58,0,0,7.46,0.57,0,0,0,0.57,0.57,0.57,2.3,1.15,0,0.57,10.9,0,0,0,0,20.08,0.57,0,2.3,0,0,0
 60-70,0,0,5.89,0.98,1.96,0,0,0,0,0,4.91,0,0.98,0,14.72,0,0,0,0,21.59,1.96,0,1.96,0,0,0
 72-82,0,1.96,3.93,0,0.98,0.98,0,0,0,0,4.91,0,0,0,12.76,0,0.98,0,0,17.67,0.98,0,0,0.98,1.96,0
 84-94,0,1.06,6.37,1.06,1.06,0,0,0,0,0,3.19,0,0,1.06,5.31,0,0,0,0,24.43,0,0,0,0,1.06,0
 96-106,0,4.37,4.37,1.09,1.09,0,0,0,0,0,4.37,0,0,0,6.56,0,0,0,0,14.21,0,0,1.09,0,0,1.09
108-118,0,1.53,0.77,0.77,0.77,0,0,0,0,0,3.83,0,0.77,1.53,5.36,0,0.77,0.77,0,9.19,0,0,0.77,0,0,0
120,0,13.72,3.92,1.96,3.92,1.96,0,0,0,0,5.88,0,0,1.96,3.92,0,0,0,0,9.8,0,0,0,0,0,0
