stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,periderm,somites,spinal_cord,vasculature
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,8,0,0,0,8,0,0,0,1,1,0,0,2,0
 24-34,0,0,0,12.31,0,0.82,0,9.85,0,0,0,0,9.03,0,0.82,4.1,1.64
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0,7.25,0,0,0.81,0
 48-58,0,0,0,0,1.15,0,0.57,0,0,0,0,0,6.31,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,2.94,0,0,0.98,3.93,0,2.94,0,0,0.98,3.93
 72-82,0,0,0,0,0.98,0,11.78,0,0,0.98,3.93,0,4.91,0,0,0,1.96
 84-94,0,0,1.06,0,3.19,0,3.19,0,2.12,0,1.06,0,6.37,0,0,0,4.25
 96-106,0,0,1.09,0,3.28,0,10.93,0,1.09,3.28,3.28,1.09,5.46,1.09,0,0,0
108-118,0,0,0,0,4.6,0,3.06,0,0,4.6,2.3,0,8.43,0,0,0,3.06
120,0,0,0,0,1.96,0,0,0,0,7.84,3.92,1.96,5.88,0,0,0,0
