stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,3,39,1,12,0,0,1,1,0,0,0,0,0,1,0,10,0,5,136,2,3,1,0,0,1,2,22,7,33,0,1,0
 24-34,2.46,17.24,1.64,8.21,0,0.82,2.46,0,0,0,0,0,0,1.64,0,9.03,0,4.1,101.79,1.64,4.93,0,0,1.64,0.82,0,4.93,0,19.7,0,0,0
 36-46,0,5.64,0,2.42,0.81,0,5.64,0,0,0,0,0,0,0,0,10.47,0,2.42,54.79,0,3.22,0,0,0,0,0,1.61,0,13.7,0,0,0
 48-58,0,2.87,0,4.59,0,0,3.44,0.57,0.57,0,0,0,0,0,0,7.46,0,0.57,49.92,0,1.72,0,0.57,0,0,0,2.87,0,7.46,0,0,0
 60-70,0,0,0,17.67,0,1.96,6.87,0.98,0,0,0,0,0,14.72,0,4.91,0,0,64.78,0,0,0,0,0,0,0,3.93,0,7.85,0,0,0
 72-82,0.98,0.98,0,66.75,0,0,6.87,0.98,0,0.98,0.98,0,0,70.68,0,12.76,0,0,53.01,0,3.93,0,0,0,0,0,16.69,0,4.91,0.98,0,0
 84-94,0,3.19,1.06,43.54,0,1.06,3.19,1.06,0,0,1.06,1.06,0,180.55,0,18.05,0,2.12,30.8,0,3.19,0,0,1.06,0,0,37.17,0,3.19,0,0,0
 96-106,0,1.09,4.37,41.53,0,0,4.37,0,1.09,0,0,0,0,241.52,0,10.93,0,1.09,41.53,0,3.28,0,0,0,0,0,32.79,0,2.19,0,0,1.09
108-118,0,1.53,1.53,31.4,0,0,3.06,0,0,0.77,0,0,0.77,396,0.77,14.55,0.77,0.77,64.34,0.77,0.77,0,0,1.53,0,0,49.02,0,0,0,0.77,0.77
120,0,0,1.96,39.2,0,0,1.96,11.76,0,0,0,0,0,211.66,0,3.92,0,0,50.95,0,0,0,0,0,0,0,21.56,0,0,0,0,0
