stage,blastomeres,eye,fin.epithelia,glial,gut,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,18.39,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,8.21,0,0,0,0.82,2.46,0,0
 36-46,0,0.81,0,0,0,0,0.81,0,0,18.53,0,0,0,0,3.22,0,0
 48-58,0,0.57,0,1.15,0,0,1.72,0,0,27.54,0,0,0,0,4.59,0.57,0
 60-70,0,2.94,0,0,0,0,0.98,0,0,49.08,0.98,0,0,0,5.89,2.94,0
 72-82,0,7.85,0,1.96,0,0.98,5.89,0,0,76.57,0,0,0,0,2.94,5.89,0
 84-94,0,9.56,1.06,3.19,2.12,0,1.06,0,1.06,41.42,0,0,2.12,0,2.12,4.25,1.06
 96-106,0,8.74,1.09,2.19,2.19,1.09,2.19,1.09,0,46.99,0,0,0,0,2.19,6.56,0
108-118,0,8.43,0,0.77,0,0,0.77,0,0,52.85,0,0,0,0,1.53,2.3,0.77
120,0,1.96,0,0,1.96,0,3.92,0,0,52.91,0,0,0,0,7.84,0,0
