stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,40.91,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
 24-34,0,0,1.64,1.64,3.28,0,0,0,0,0,0,1.64,0,0,0,0.82,0,0.82,0,0,0.82,0.82,0,0.82,45.97,0,1.64,3.28,0,0,7.39,0,3.28,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,1.61,0,0,0.81,0.81,0,0,0,0,0,0.81,0,0,8.86,0,0,0.81,136.96,0,0,5.64,0,0,8.06,0,0.81,0,0,4.83,0,0,0,0,0.81
 48-58,0,0,0,0,2.3,0,0,10.33,0.57,1.72,3.44,1.72,0,1.15,0.57,0,0,1.15,1.72,0.57,25.82,0.57,0,0.57,196.82,0.57,1.72,2.3,0,0,4.59,0,1.72,0,0,17.79,0,0,0.57,0,1.72
 60-70,0,0,2.94,0,5.89,3.93,0,31.41,3.93,0,8.83,5.89,0,0.98,0.98,0.98,0,2.94,3.93,0,76.56,0,0,0.98,268.94,0,1.96,4.91,0,0.98,7.85,0,0,0,0,20.61,0,0,0,0,0
 72-82,0,0,6.87,0,6.87,19.63,9.82,54.97,0,4.91,22.58,24.54,0,0,2.94,0.98,0,3.93,12.76,0,79.51,1.96,0,1.96,237.56,0,0,11.78,0,0,11.78,0,0.98,0,0,16.69,2.94,0.98,0,0.98,0.98
 84-94,1.06,0,3.19,0,11.68,15.93,7.43,36.11,1.06,2.12,15.93,45.67,1.06,2.12,5.31,2.12,3.19,0,31.86,0,71.16,1.06,2.12,4.25,112.58,0,1.06,12.74,0,0,14.87,0,3.19,1.06,0,4.25,3.19,1.06,0,0,1.06
 96-106,0,0,6.56,0,34.97,14.21,14.21,42.62,2.19,1.09,9.84,63.39,0,1.09,0,0,0,4.37,56.83,0,65.57,0,0,1.09,88.52,0,2.19,12.02,0,1.09,24.04,0,4.37,0,0,3.28,5.46,1.09,0,0,5.46
108-118,0,0,2.3,0,42.89,6.89,39.06,25.28,5.36,1.53,13.02,70.47,0,0.77,5.36,0.77,0.77,0,111.83,0,60.51,3.83,0.77,4.6,85.79,0,0.77,9.19,0,0,15.32,0,2.3,0,0,1.53,1.53,0,0,0,6.13
120,1.96,0,5.88,0,72.51,19.6,17.64,17.64,11.76,5.88,19.6,72.51,0,0,7.84,1.96,0,0,70.55,0,60.75,3.92,0,3.92,99.95,0,1.96,17.64,0,0,27.44,0,1.96,0,0,0,3.92,0,1.96,0,0
