stage,blastomeres,endocrine.pancreas,eye,fin.epithelia,glial,heart,immune,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,0.98,0,0,0.98,0.98,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0,0,0.98,0.98
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,2.19,1.09,0
108-118,0,0,0.77,0.77,0,0,0,0.77,0,0.77,0,0,0,3.06,0,0
120,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,15.68,0,0
