stage,blastomeres,eye,glial,gut,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,periderm,pgc,pronephros
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0.57,1.72,0,0,0,0,0,0,0,0,1.15,0,0.57,0,0
 60-70,0,1.96,2.94,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,1.96,4.91,0,0.98,0.98,0,0,1.96,0.98,1.96,0,0,0.98,0,8.83
 84-94,0,4.25,6.37,0,0,1.06,1.06,0,2.12,0,0,1.06,0,0,0,9.56
 96-106,0,6.56,2.19,0,0,0,0,0,0,0,1.09,0,0,0,0,33.88
108-118,0,25.28,3.06,0,0,1.53,0,0.77,1.53,0,0,3.06,0,0,0,36.77
120,0,9.8,7.84,1.96,0,1.96,0,0,1.96,0,0,7.84,0,0,0,33.32
