stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,7.89,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,3.15,0
 14-21,0,0,0,0,1,0,1,0,0,1,0,0,1,11,0,10,1
 24-34,0,0,0.82,0,1.64,0,0.82,0,0,1.64,0.82,0,0,17.24,0,36.94,4.1
 36-46,0,0,0.81,0,6.45,0,0,0,0,0,0,0.81,0,15.31,0,29.81,0.81
 48-58,0,0,1.72,0,11.48,0,1.72,0.57,0,1.72,0,0,1.72,16.64,0,43.04,1.72
 60-70,0,0,0,0,2.94,0.98,0.98,0,0,2.94,0,0,0,7.85,0,58.89,0.98
 72-82,0,0,0,0,0,0,0,0.98,0,3.93,0.98,0,0,6.87,0,63.81,0
 84-94,0,0,1.06,0,2.12,3.19,1.06,2.12,0,2.12,0,0,0,2.12,0,162.49,0
 96-106,0,0,3.28,0,2.19,10.93,2.19,1.09,0,1.09,0,1.09,0,8.74,0,234.96,1.09
108-118,0,0,2.3,0,2.3,7.66,0.77,3.83,0.77,0,0,0,0,6.89,0,145.53,0
120,0,0,1.96,0,1.96,9.8,1.96,3.92,0,0,1.96,0,0,3.92,0,227.34,0
