stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,2,1,2,0,4,0,0,0,1,0,0,0,0,0,0,3,0,1,19,1,0,1,1,1,1,0,3,3,0,0
 24-34,0.82,1.64,0.82,0,6.57,0,0,2.46,0,0,0,0,0.82,0,0,5.75,0,1.64,57.46,0.82,0.82,0,0,2.46,0,0,0,11.49,0,0.82
 36-46,0,0.81,0,0,11.28,0,0,1.61,0,0,0,0.81,0,0.81,0,4.03,0,0.81,45.92,0,0,0,0,1.61,0,0,0,11.28,0,0.81
 48-58,0,4.02,0,0,17.21,0,0,2.3,0,0,0,0,0,0,0,4.59,0,1.72,20.66,0.57,0,0,0,0.57,0,0,0,2.3,0,0
 60-70,0,0,0.98,0,18.65,0,0.98,3.93,0.98,0.98,0.98,0,0,0,0,3.93,0,0,20.61,0,0,0,0,1.96,0,1.96,0,2.94,0.98,0
 72-82,0,2.94,0,0,1.96,0,0,1.96,0.98,0,0,0,0,0,0,11.78,0,1.96,21.6,0,1.96,0,0,2.94,0,0,0,2.94,0,0.98
 84-94,0,3.19,0,0,9.56,0,0,1.06,1.06,0,0,1.06,1.06,0,0,6.37,0,1.06,8.5,0,0,1.06,0,5.31,0,0,0,1.06,0,0
 96-106,1.09,0,1.09,1.09,6.56,0,0,1.09,0,0,0,0,1.09,1.09,0,3.28,1.09,0,8.74,0,3.28,1.09,0,2.19,0,0,0,1.09,0,1.09
108-118,0,3.06,0.77,0,3.06,0.77,0,3.06,2.3,0,1.53,0,0,0,0,1.53,0,0.77,6.13,0.77,0,0.77,0,4.6,0,0,0,1.53,0,0
120,0,3.92,0,0,5.88,0,0,1.96,0,0,0,0,0,0,1.96,1.96,0,0,21.56,0,0,0,0,9.8,0,0,0,0,0,0
