stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,205,1,0,2,0,0,0,0,0
 24-34,0,0,1.64,8.21,3.28,0,4.93,0,1.64,0,0,0,0,0,9.85,0,0,7.39,0,0,1.64,2.46,0,0.82,18.06,0.82,0.82,1.64,0,0,227.38,0.82,0.82,1.64,0,0,0,0,0
 36-46,0,0,0,10.47,0.81,0,4.83,0,2.42,0,0,0.81,0,0,13.7,1.61,0,6.45,0,0,3.22,2.42,0,0.81,26.59,0,0.81,0,0,0,254.59,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,6.89,4.59,0,8.61,0,5.74,0,0.57,1.15,4.59,0.57,8.03,0.57,0,5.74,0.57,0.57,4.02,0.57,0,0.57,14.92,0,1.72,0,0,0,270.84,0,0,3.44,0,0,0.57,0,0.57
 60-70,0,0,0,14.72,0,0,8.83,0,13.74,0,2.94,0.98,0.98,0,9.82,1.96,0,5.89,0,0,1.96,3.93,0,0,19.63,0,1.96,0,0,0.98,357.27,0.98,0,1.96,0,0,0,0,0.98
 72-82,0,0.98,0,37.3,0.98,0,9.82,0,6.87,0,1.96,0.98,0,0.98,6.87,4.91,0,15.71,0,0,6.87,5.89,3.93,0,17.67,0,6.87,0.98,0,0.98,363.21,0,0,0.98,0.98,1.96,0,1.96,0
 84-94,0,0,0,100.89,1.06,0,18.05,0,24.43,0,2.12,3.19,2.12,0,16.99,16.99,0,8.5,1.06,0,7.43,11.68,1.06,0,19.12,0,10.62,1.06,0,1.06,980.26,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,237.15,9.84,1.09,16.39,1.09,36.06,1.09,8.74,17.49,0,1.09,38.25,24.04,1.09,14.21,0,0,6.56,10.93,1.09,1.09,34.97,0,29.51,3.28,0,3.28,795.59,0,0,0,10.93,2.19,1.09,7.65,1.09
108-118,0,0,0,226.73,19.92,1.53,11.49,0.77,85.79,1.53,8.43,23.74,0,0,29.87,36,0,6.13,0.77,0,11.49,25.28,2.3,1.53,29.11,0,25.28,0,0,0,661.03,0,0,0.77,20.68,0,0,0.77,0
120,0,0,0,164.62,23.52,0,5.88,0,37.24,0,0,5.88,0,0,37.24,15.68,0,9.8,1.96,0,9.8,5.88,0,0,15.68,0,9.8,1.96,0,1.96,433.11,0,0,0,1.96,0,0,7.84,0
