stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,367.78,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,7.89,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,15.77,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,47.2,6.29,0,0,25.18,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,7,1,16,10,0,3,0,0,0,9,4,0,0,0,1,0,0,0,25,0,0,11,40,2,1,2,1,7,0,3,1,2,41,0,0,1,0,0
 24-34,0,0,3.28,2.46,9.85,0.82,0,21.34,0,0.82,0,5.75,2.46,0.82,0.82,0,3.28,0,0.82,0,7.39,5.75,0,2.46,84.55,0,2.46,2.46,0,17.24,0,7.39,0,0,53.36,0,0,20.52,0,0
 36-46,0,0,0.81,0,2.42,0,0,13.7,0,2.42,0,4.03,0,0,1.61,0.81,0.81,0,0.81,0.81,8.86,4.03,0.81,0.81,81.37,0,0.81,2.42,0,12.09,0,2.42,0,0,39.48,0,0,14.5,0,0
 48-58,0,0,1.72,0,1.72,0,0,35.58,0,3.44,0,2.87,2.3,5.74,2.3,0,1.72,0,0,0,2.87,6.31,0,2.87,71.15,0,0.57,1.72,0,2.87,0,1.15,0,0,22.95,0,0,14.92,0,0
 60-70,0,0,1.96,0.98,4.91,0,0,288.57,0,2.94,0,5.89,2.94,1.96,0.98,0,0.98,0.98,2.94,0,7.85,10.8,0,0,78.52,0,0,0,0,6.87,0,0,0,0,9.82,0,0,13.74,0,0
 72-82,0,0,4.91,0,10.8,0,0,701.89,0,0,0,28.47,5.89,1.96,3.93,0.98,0,0.98,0.98,0,19.63,15.71,0,0.98,91.29,0,3.93,3.93,0,10.8,0,1.96,0,0,15.71,1.96,0,23.56,0,0
 84-94,0,0,1.06,0,10.62,0,0,412.07,1.06,4.25,1.06,22.3,7.43,6.37,3.19,1.06,2.12,0,0,2.12,14.87,15.93,0,1.06,66.91,1.06,1.06,1.06,0,27.61,0,1.06,0,0,5.31,3.19,1.06,18.05,1.06,1.06
 96-106,0,0,4.37,0,7.65,3.28,0,498.34,0,1.09,0,33.88,16.39,1.09,3.28,3.28,1.09,1.09,4.37,4.37,10.93,16.39,1.09,1.09,68.85,0,5.46,5.46,0,28.41,0,1.09,1.09,0,7.65,13.11,1.09,28.41,2.19,1.09
108-118,0,0,1.53,0,15.32,0.77,3.83,343.15,0,0.77,0.77,14.55,15.32,0,0,0.77,2.3,0,0,2.3,7.66,16.09,0.77,1.53,84.26,1.53,5.36,5.36,0,16.09,0,0.77,0.77,0,6.89,21.45,0,6.89,1.53,0.77
120,0,0,7.84,0,11.76,0,1.96,260.65,0,0,0,9.8,15.68,0,0,0,0,1.96,5.88,1.96,9.8,9.8,0,0,70.55,0,3.92,0,0,17.64,0,7.84,0,0,13.72,5.88,1.96,9.8,1.96,0
