stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,4,47,11,0,20,0,1,0,6,2,3,1,1,1,0,0,0,0,21,0,0,12,136,13,0,3,4,0,1,0,22,2,1,31,58,0,0,4,0,2
 24-34,0,0.82,2.46,28.73,3.28,0,63.21,0,4.1,4.1,14.78,1.64,1.64,0.82,1.64,4.1,0,4.93,0.82,3.28,50.89,1.64,0,36.12,469.53,2.46,5.75,9.03,0,0,10.67,0,0,3.28,1.64,16.42,123.95,0,0,13.95,0,2.46
 36-46,0,0,0,7.25,0.81,0,98.29,0,2.42,4.83,27.39,0,0,1.61,2.42,1.61,0,0,0,2.42,67.68,2.42,0,16.92,418.14,4.03,4.03,3.22,0,0,16.92,0,0.81,1.61,0.81,0,106.35,0,0,8.06,0,4.83
 48-58,0.57,0,0,5.16,0.57,0,152.63,0.57,1.15,5.16,40.17,1.15,0.57,1.72,1.72,1.15,0,1.72,0.57,1.72,95.25,1.72,2.3,16.64,296.08,1.72,3.44,3.44,0,0,6.31,0,0,1.72,0.57,0,79.76,0,0.57,6.89,0,4.02
 60-70,0,0,0,5.89,0,0,283.66,0.98,1.96,2.94,54.97,0.98,0,0,2.94,0,0.98,0,0.98,1.96,116.8,1.96,3.93,7.85,281.7,0.98,4.91,1.96,0,0,7.85,0,0,1.96,0,0,53.98,0.98,1.96,4.91,0.98,0
 72-82,0,1.96,0,8.83,18.65,0,233.64,0.98,0.98,9.82,55.95,1.96,0.98,0.98,5.89,4.91,1.96,0.98,0,1.96,123.69,0.98,3.93,9.82,234.62,0,4.91,3.93,0,0.98,12.76,0,0,0.98,0,0,33.38,0,0,13.74,0.98,3.93
 84-94,0,5.31,1.06,28.68,14.87,1.06,208.16,1.06,9.56,11.68,33.99,9.56,0,2.12,10.62,6.37,2.12,2.12,2.12,1.06,116.82,3.19,8.5,9.56,146.56,2.12,2.12,5.31,0,0,25.49,0,0,2.12,0,0,18.05,2.12,11.68,18.05,6.37,0
 96-106,0,2.19,0,24.04,15.3,1.09,122.4,1.09,5.46,3.28,38.25,7.65,0,2.19,5.46,6.56,4.37,5.46,4.37,0,67.76,4.37,5.46,13.11,106.01,2.19,8.74,4.37,0,2.19,24.04,1.09,0,0,0,0,3.28,4.37,3.28,9.84,4.37,1.09
108-118,0,2.3,0,19.15,9.19,9.19,98.04,0.77,5.36,3.06,40.6,7.66,0,0,12.26,6.13,2.3,1.53,1.53,3.06,62.81,1.53,1.53,8.43,113.36,3.06,2.3,6.13,0,2.3,11.49,0,0,2.3,1.53,0,4.6,3.06,0.77,9.19,3.06,5.36
120,0,0,0,15.68,13.72,3.92,74.47,1.96,1.96,1.96,17.64,5.88,0,0,1.96,3.92,1.96,3.92,1.96,0,70.55,0,0,9.8,133.27,3.92,1.96,1.96,0,0,29.4,0,0,0,0,0,1.96,1.96,1.96,13.72,0,1.96
