stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,glial,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,4,0
 24-34,0,0,0,0,0,0,1.64,0,0.82,0.82,0.82,18.88,0,0,0,0,0.82,13.13,0.82
 36-46,0,0,0,0,0.81,0,2.42,0,0.81,0,0,22.56,0,0,0,0,0.81,9.67,1.61
 48-58,0,0,0,0,2.87,0,5.74,0,0,0,0,16.64,0,0.57,0,0,0,8.03,1.15
 60-70,0,0,0,0,7.85,0,17.67,0,0,0,0,15.7,0.98,0,0,0,0,3.93,0
 72-82,0,0,0,0,11.78,0.98,8.83,0.98,0,0.98,0,15.71,0,0,0,0,0,3.93,0
 84-94,0,1.06,2.12,0,8.5,0,8.5,1.06,0,1.06,0,11.68,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,9.84,0,17.49,0,0,1.09,0,3.28,0,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0.77,9.96,0,9.96,1.53,0,0.77,0,7.66,0,0.77,0,0.77,0,0,1.53
120,0,0,0,0,7.84,0,13.72,0,0,1.96,0,11.76,0,0,0,0,0,0,0
