stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,2.46,0,0,0,0,0,2.46,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,3.22,0,0,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0,0,0.57,0,0,0,0,0,3.44,0,0,0,0,0,1.72,0,0,0,0,0,0
 60-70,0,1.96,0,0,0,0,0.98,0,0,0,0.98,12.76,0,0,0,0,0,2.94,0.98,0,0,0,0,3.93,0,0,0,0,0,3.93,0,0,0,0,0,0
 72-82,0,16.69,0.98,0,0,0,13.74,0,0,0.98,0.98,112.89,0.98,1.96,0,0,0,3.93,0,12.76,0,0,0,37.3,0.98,0,0,0,0,27.49,0,0,1.96,1.96,0,0
 84-94,0,19.12,0,0,1.06,0,5.31,0,1.06,0,1.06,183.73,0,0,0,0,0,5.31,0,1.06,0,0,0,13.81,0,0,0,0,2.12,66.91,0,0,1.06,1.06,1.06,0
 96-106,0,29.51,2.19,10.93,3.28,2.19,21.86,2.19,1.09,0,6.56,335.5,0,4.37,1.09,2.19,1.09,12.02,0,9.84,1.09,2.19,3.28,85.24,0,1.09,0,1.09,16.39,77.59,0,0,0,3.28,0,2.19
108-118,0,18.38,7.66,7.66,2.3,3.06,10.72,0,1.53,0.77,6.89,392.17,0,1.53,1.53,0.77,0,13.02,0,18.38,0,0.77,3.06,50.55,0,0,0.77,0.77,6.89,94.21,0.77,0.77,0,2.3,0.77,1.53
120,0,17.64,0,3.92,3.92,3.92,3.92,0,3.92,0,9.8,319.45,0,1.96,0,0,0,9.8,1.96,7.84,0,0,0,43.12,0,0,0,0,5.88,48.99,0,0,0,1.96,0,0
