stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,xanthophores
  3-4,13.18,1001.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,18.39,343.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0
  7-9,23.66,0,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,23.66,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,3.15,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29,0,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0,0.82,10.67,0,0,0,0,56.64,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0.81,0.81,1.61,0,0,10.47,0,0,0,0,27.39,0,0,0,0,0
 48-58,0,0,0,0.57,0,2.87,1.15,0,0,0,1.15,0,0,2.3,2.87,0,0,8.03,0.57,0,0,0,13.2,0,0,1.15,0,0.57
 60-70,0,0,0,0.98,0,3.93,0.98,1.96,0,0.98,0,0,0,23.56,3.93,0,0,13.74,0,0,0,0,21.59,0,0,1.96,0,0
 72-82,0,0,0,1.96,0,10.8,3.93,21.6,0,0,0,0,0,64.79,8.83,0,0,8.83,0.98,0,0,0,13.74,0,0,1.96,0.98,0
 84-94,0,0,0,1.06,0,3.19,1.06,27.61,0,3.19,3.19,1.06,0,35.05,7.43,1.06,0,2.12,1.06,0,0,0,55.23,0,0,2.12,1.06,0
 96-106,0,0,0,3.28,1.09,2.19,0,50.27,0,1.09,1.09,0,0,14.21,5.46,0,0,6.56,0,1.09,1.09,0,21.86,0,0,1.09,0,0
108-118,0,0,0,6.13,1.53,1.53,1.53,49.79,0,0.77,0.77,0.77,0,13.79,11.49,0,0,4.6,0,0,0.77,0,22.98,0,0,0,0.77,0
120,0,0,0,7.84,0,1.96,1.96,35.28,0,1.96,0,0,0,11.76,7.84,0,0,5.88,0,1.96,1.96,0,25.48,0,0,0,0,0
