stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.32,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,18.88,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,66,20,0,0,0,1,2,3,0,0,0,10,0,1,9,44,2,6,41,3,1,1,9,1,1,32,14,0,0,21,0,0
 24-34,0,0,0,2.46,0,0,0,0,0.82,0,0,0,0,0,48.43,0.82,0,0.82,13.13,0,9.03,13.95,0,0,0,0,0,0.82,0,5.75,0,0,19.7,0,0
 36-46,0,0,0,2.42,0,2.42,0,0,0,0,0,0,0,0,24.98,0,0.81,1.61,12.09,0,3.22,2.42,0,0.81,0,0,0,0,0,8.86,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,0.57,0,0.57,0.57,0,0.57,0,0,0,12.62,0,1.72,1.15,5.16,0,1.72,4.02,0,0.57,0,0,0,0.57,0,2.3,0,0,0,0,0
 60-70,0,0,0,0.98,0,2.94,0,0,1.96,0,0,0,0,0,17.67,0,0,0,11.78,0,0,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0.98,0,4.91,0,0.98,1.96,1.96,0,0,0,0,32.39,0,4.91,0,19.63,0,1.96,23.56,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,1.06,0,1.06,0,2.12,0,0,4.25,5.31,0,1.06,0,1.06,63.72,0,1.06,0,10.62,0,0,39.3,0,3.19,0,0,0,1.06,0,3.19,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,6.56,0,0,5.46,3.28,0,3.28,0,0,93.98,0,6.56,0,14.21,0,3.28,53.55,0,1.09,0,0,0,1.09,0,1.09,1.09,1.09,2.19,0,0
108-118,0,0,0,2.3,1.53,3.83,1.53,0,5.36,2.3,0,0.77,0.77,0,67.4,0.77,4.6,0,17.62,0,0,36,0,0,0,0,0,3.06,0,0,0,0,0,0.77,0.77
120,0,0,0,3.92,0,1.96,0,0,0,7.84,0,0,0,0,50.95,0,1.96,0,15.68,0,0,31.36,0,0,0,0,1.96,1.96,0,0,1.96,0,0,0,0
