stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1212.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,6.29,0,0,0,0,3.15,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,7,32,7,8,0,0,0,2,2,0,0,0,1,0,0,0,0,16,0,0,7,82,0,0,0,1,0,1,0,3,1,7,22,0,0,0,0,0
 24-34,0,0,0,3.28,5.75,1.64,3.28,0,0,0.82,0.82,2.46,0,2.46,0,0.82,0,0,0.82,0,12.31,0,0,7.39,55,0.82,0,0,0,0,0.82,0,0,0,2.46,14.78,0,0,0,0,3.28
 36-46,0,0,0,0,1.61,0,9.67,0,0.81,2.42,4.83,0.81,0,2.42,0,0,0.81,0,0.81,0,20.14,0,0.81,6.45,37.87,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0
 48-58,0,0,0,0,4.02,0,6.89,0,12.05,2.87,6.89,0.57,0,3.44,0,0,0,0.57,0.57,0,12.62,0,0,1.15,17.79,0,0,0,0,0,0,0,0,0,0,5.16,0,0,2.3,0,0
 60-70,0,0,0,0,11.78,2.94,6.87,0,8.83,3.93,13.74,2.94,0,2.94,1.96,0.98,0,0.98,0,0,31.41,0,7.85,4.91,21.59,0,0.98,0,0,0,0,0,0,0,0,1.96,0,1.96,1.96,0.98,0
 72-82,0,0,0.98,0,30.43,0.98,16.69,0.98,38.28,0.98,21.6,12.76,0,3.93,5.89,0,0,0,0.98,0.98,37.3,0,8.83,0.98,21.6,0,0,0,0,0.98,0,0,0,0,0,0.98,0.98,3.93,20.61,2.94,0
 84-94,0,0,1.06,0,161.43,2.12,18.05,0,113.64,2.12,12.74,13.81,0,2.12,2.12,0,2.12,0,0,0,19.12,3.19,7.43,3.19,13.81,0,0,0,0,2.12,2.12,0,0,1.06,0,2.12,2.12,2.12,8.5,6.37,0
 96-106,0,0,2.19,0,286.33,8.74,13.11,0,124.58,3.28,14.21,40.44,0,6.56,13.11,1.09,1.09,2.19,0,2.19,21.86,5.46,15.3,3.28,21.86,0,1.09,1.09,0,3.28,9.84,2.19,0,1.09,0,2.19,4.37,4.37,21.86,10.93,0
108-118,0,0,0.77,0.77,480.26,1.53,15.32,0,248.94,3.06,6.89,52.85,0,3.83,6.13,0,2.3,0.77,2.3,0,14.55,4.6,11.49,3.83,19.92,0,0.77,0,0,1.53,4.6,1.53,0,1.53,0,1.53,3.06,0,23.74,7.66,0
120,0,0,0,0,176.38,7.84,7.84,0,88.19,1.96,5.88,35.28,0,0,3.92,1.96,1.96,1.96,0,0,9.8,1.96,5.88,1.96,13.72,0,0,0,0,1.96,1.96,0,0,0,0,0,3.92,1.96,23.52,7.84,1.96
