stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,neural,notochord,paraxial.mesoderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,3,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0
 48-58,0,0,1.72,0.57,0.57,0,0,0,0,1.15,0,0,0.57,0.57
 60-70,0,0,4.91,0.98,0.98,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,3.93,0.98,0.98,0,0,0,0,0,0,0,0,2.94
 84-94,0,0,4.25,1.06,0,1.06,1.06,0,0,0,0,0,0,1.06
 96-106,0,1.09,4.37,2.19,0,0,0,0,0,0,0,0,0,1.09
108-118,0,3.06,2.3,0,0,0,0,1.53,0,0,0.77,0,0,0
120,0,0,3.92,0,0,0,0,0,1.96,0,0,0,0,1.96
