stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,1001.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,153.24,1176.89,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,104.2,6.13,0,0,12.26,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,5.26,0,52.57,0,0,10.51,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,312.82,7.89,0,0,97.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,87,1,1,0,1,0,3,1,1,0,2,1,47,0,0,1,0,0
 24-34,0,0,1.64,0.82,4.93,0,4.93,0,4.1,1.64,0.82,0,0,0,0,0,0,4.1,0,11.49,0,0,4.93,284.02,0,11.49,0.82,0,0,4.93,0,0,0,0,0.82,188.8,0,0,4.1,0,0
 36-46,0,0,0,0,1.61,0,15.31,0,0.81,0.81,0,0,0,0,0,0,0,2.42,0,14.5,0,0,4.03,442.31,0,5.64,0,0,0,4.03,0,0.81,0,0,0,247.34,0,0,1.61,0,0
 48-58,0,0,0.57,0,4.02,0,48.2,0,0.57,4.59,9.75,0,0,0,1.15,0.57,0,1.72,0,18.36,0,0.57,2.87,713.81,2.3,2.87,0.57,0,0,2.3,0,0,0,0,0,282.89,0,0,2.3,0,1.15
 60-70,0,0,0.98,0,2.94,0,92.26,0.98,0,6.87,17.67,2.94,0,0,1.96,0,1.96,0.98,0,36.32,0,0.98,2.94,1089.49,3.93,1.96,0,0,0,3.93,0,0,0.98,0,0,289.55,0,0,2.94,0,3.93
 72-82,0,0,0.98,0,6.87,2.94,125.65,0,0,6.87,15.71,2.94,0,0,2.94,0,0,1.96,0,55.95,0,8.83,2.94,892.33,0.98,6.87,0,0,0.98,6.87,0,0,0,0,0,154.12,0.98,1.96,3.93,0.98,0
 84-94,0,0,2.12,0,8.5,1.06,124.26,3.19,1.06,5.31,13.81,1.06,0,2.12,2.12,1.06,2.12,1.06,0,36.11,0,4.25,4.25,507.65,3.19,2.12,1.06,0,0,5.31,0,0,0,0,0,103.02,3.19,3.19,3.19,4.25,0
 96-106,0,0,3.28,0,6.56,1.09,60.11,0,0,2.19,19.67,2.19,0,1.09,0,0,2.19,0,0,31.69,0,4.37,2.19,314.74,1.09,5.46,1.09,0,0,5.46,0,0,0,0,0,48.09,0,1.09,2.19,2.19,0
108-118,0,0,1.53,0,7.66,2.3,47.49,0,0.77,3.83,10.72,2.3,0,0.77,0.77,0.77,3.06,0,0.77,34.47,1.53,0,3.06,337.02,2.3,0.77,0,0,0,3.06,0,0,0,0,0,23.74,0.77,0.77,3.06,3.06,0
120,0,0,0,0,3.92,3.92,58.79,0,0,1.96,13.72,0,0,0,5.88,0,0,0,0,17.64,0,0,0,327.28,3.92,0,0,0,3.92,5.88,0,0,1.96,0,0,21.56,0,0,0,0,0
