stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,lateral.line,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0.82,0,0,0,0
 36-46,0,0,2.42,0,0,0,0,0.81,0,8.06,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,2.87,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,3.93,0.98,0,0,0,0.98,0,8.83,0,0,0.98,0,0,0.98,0,0
 72-82,0,0.98,6.87,0,0.98,0.98,0,1.96,0,14.72,0,1.96,0,0.98,0,0.98,0,0
 84-94,1.06,0,0,0,0,0,1.06,2.12,0,6.37,0,2.12,0,0,0,0,0,1.06
 96-106,0,0,4.37,0,1.09,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,3.06,0,1.53,0,0,1.53,0,2.3,0,0.77,0,0,0,0,0.77,0
120,0,0,3.92,0,0,0,0,1.96,1.96,7.84,0,3.92,0,0,0,1.96,0,0
