stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,154,8,0,18,0,0,0,0,1,0,0,0,6,0,1,0,1,25,1,0,12,97,0,0,1,0,40,30,0,4,10,0,0,14,0,0
 24-34,0,0,0.82,192.9,0.82,0,30.37,0,1.64,0,5.75,0,0,3.28,0,11.49,0,6.57,0.82,0,63.21,4.93,0,9.03,112.46,11.49,2.46,4.93,0,111.64,24.63,0,0,25.45,0,0,71.41,0,1.64
 36-46,0,0,0,62.04,0,0,16.11,0,3.22,0,6.45,0,0.81,4.03,0,5.64,0,7.25,0,0,74.93,1.61,0,7.25,155.49,13.7,0.81,3.22,0.81,66.06,7.25,0.81,0,31.42,0,0,49.95,0,0
 48-58,0,0,0,39.02,0,0,26.4,0,1.72,1.72,13.2,0,0.57,4.02,0,4.02,0,2.3,0.57,0,152.06,2.87,1.15,12.62,145.75,5.74,1.15,1.15,0,45.33,4.59,0,0,16.07,0,0,42.46,0,0.57
 60-70,0,0,0.98,44.17,0,0,33.37,0,5.89,3.93,12.76,0.98,1.96,6.87,0,5.89,0.98,2.94,0,0,241.45,0,2.94,8.83,251.27,6.87,0.98,1.96,0.98,48.09,1.96,0,0,18.65,0,2.94,27.48,0,0
 72-82,0,0,0.98,47.12,2.94,0,53.01,0,2.94,6.87,32.39,0.98,1.96,3.93,0,8.83,0,0.98,0.98,0,324.93,0.98,1.96,13.74,355.36,1.96,0.98,6.87,0,51.05,4.91,0,0,22.58,0.98,0.98,56.94,2.94,0
 84-94,1.06,1.06,0,84.96,1.06,0,55.23,0,4.25,4.25,19.12,3.19,1.06,0,0,15.93,1.06,2.12,0,0,233.65,3.19,4.25,6.37,148.69,4.25,4.25,4.25,0,116.82,8.5,0,0,11.68,0,5.31,50.98,2.12,0
 96-106,0,0,0,57.92,0,0,51.36,1.09,2.19,4.37,21.86,2.19,0,2.19,0,16.39,0,4.37,1.09,0,192.34,2.19,2.19,5.46,174.86,2.19,4.37,7.65,1.09,83.06,6.56,0,0,14.21,1.09,3.28,53.55,2.19,1.09
108-118,0,0,0,76.6,0.77,0.77,37.53,2.3,6.89,6.89,13.79,4.6,0,3.83,2.3,14.55,0.77,2.3,1.53,0,153.19,1.53,1.53,5.36,167.75,4.6,1.53,6.13,2.3,55.15,9.19,0,0,7.66,0,3.06,32.94,1.53,0.77
120,0,0,1.96,113.67,0,0,39.2,0,5.88,3.92,13.72,5.88,0,1.96,3.92,7.84,0,5.88,0,0,180.3,3.92,1.96,1.96,315.53,1.96,7.84,9.8,1.96,74.47,17.64,0,0,7.84,1.96,1.96,35.28,0,0
