stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,1,0,0,0,0,0,48,0,0,0,0,0
 24-34,0,4.93,3.28,0,0,7.39,0,0,0.82,1.64,0.82,0,0,0,0,0,0,0.82,0,0,0,0.82,741.23,0,7.39,0,0,0,0,0,299.61,0,0,1.64,0,0
 36-46,0,1.61,1.61,0.81,0,29,0,0,0,4.03,0,0,0,0,0,0,0,0,3.22,0,0,1.61,1815.98,0.81,6.45,0.81,0,0.81,0,0,572.03,0,0,1.61,0,0
 48-58,0,2.3,4.59,1.15,0,132.55,0,0.57,1.15,18.36,0,0,0,1.15,0.57,0,0,1.15,10.33,0.57,0,1.15,1982.5,0.57,5.74,0.57,0,1.72,0,0,589.87,0,0,1.72,0,1.72
 60-70,0,0,5.89,0.98,0,457.39,0,1.96,0.98,24.54,0.98,0,0,0,0,0,0,1.96,18.65,0,0.98,0.98,2985.79,0.98,6.87,2.94,0,8.83,0.98,1.96,660.56,0,0,1.96,0,1.96
 72-82,0,2.94,12.76,0.98,0,555.62,0,0.98,3.93,36.32,0.98,0,0,1.96,1.96,0,0.98,0.98,28.47,0,0,1.96,2074.25,0,10.8,1.96,0.98,1.96,0,0,370.09,1.96,0,0,0.98,1.96
 84-94,0,1.06,20.18,0,0,364.28,0,0,1.06,36.11,0,0,1.06,1.06,0,2.12,0,0,28.68,0,5.31,4.25,1117.26,1.06,6.37,3.19,0,4.25,0,0,212.41,1.06,2.12,1.06,1.06,0
 96-106,0,1.09,16.39,1.09,0,293.98,0,0,2.19,30.6,0,0,1.09,0,1.09,2.19,0,1.09,29.51,1.09,0,2.19,878.65,2.19,7.65,5.46,0,2.19,1.09,0,93.98,0,1.09,3.28,0,1.09
108-118,0,1.53,13.02,0.77,0.77,215.24,0.77,0.77,0.77,17.62,3.06,0,0,0.77,0,1.53,0,0,14.55,0,0,0.77,901.54,0,3.83,0,0.77,0,0,0,78.89,0,0.77,1.53,0.77,0.77
120,1.96,0,13.72,3.92,0,217.54,0,1.96,0,11.76,0,0,0,3.92,0,0,0,0,19.6,0,0,3.92,1007.33,0,5.88,1.96,0,3.92,0,0,88.19,0,0,3.92,3.92,0
