stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,6,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,10,0,4,0,0
 24-34,0,0,1.64,0,22.16,6.57,0,0,0,0.82,0,0,0.82,0,0,0,0,1.64,0,0.82,9.85,0,1.64,1.64,0,4.93,0,0
 36-46,0,0,0,0,42.7,8.06,0,0,0.81,0,0,0,0,0,0.81,0,0,0.81,0,0.81,22.56,0,0,2.42,0.81,5.64,0,0
 48-58,0,0,0,0,22.38,16.64,0,0,0.57,0,0.57,0,0,0,0.57,0.57,0.57,3.44,0,0.57,15.49,0,1.15,0.57,0,1.15,0,0
 60-70,0,0,0,0.98,15.7,32.39,0,0,0.98,0.98,0,0,0,0,0.98,0,0,1.96,0.98,0,17.67,0,0,0,0,1.96,0,0.98
 72-82,0,0,0,0.98,1.96,26.5,0,0.98,3.93,0,0,0,0,0,0,0,0,8.83,0,0,14.72,0,0,0,0,0.98,0,0
 84-94,0,0,0,2.12,3.19,19.12,0,0,2.12,1.06,0,1.06,0,0,0,0,0,4.25,0,0,7.43,1.06,1.06,4.25,0,1.06,1.06,0
 96-106,0,0,0,3.28,3.28,15.3,0,0,0,2.19,0,1.09,0,0,0,0,0,4.37,0,0,6.56,3.28,2.19,1.09,0,0,0,0
108-118,0,1.53,0,1.53,1.53,10.72,0,0,0.77,0,0,0.77,0,0.77,0,0,0,3.83,0,0,5.36,1.53,0.77,3.06,0,0,0,0
120,0,0,0,1.96,3.92,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0
