stage,blastomeres,eye,glial,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,92.25,0,0,0,0,0,0,26.36,0
  5-6,24.52,0,0,0,12.26,0,0,0,0
  7-9,0,0,0,2.63,2.63,0,2.63,0,0
 10-12,0,0,0,0,12.59,3.15,0,0,0
 14-21,0,0,1,0,5,0,0,0,7
 24-34,0,0,0,0,2.46,0,0,0,2.46
 36-46,0,0,0,0,1.61,0,0,0,1.61
 48-58,0,0,0,0,0,0,0,0,1.72
 60-70,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,3.28,0,0,0,0,0,0,0
108-118,0,1.53,0.77,0,0,0,0,0,0
120,0,1.96,0,0,0,0,0,0,0
