stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,1,1,0,1,0,0,0,0,0,0,1,13,0,0,1,1,2,3,0,0
 24-34,0,0.82,4.93,0.82,0.82,0,0,0,0,0.82,3.28,0.82,25.45,0.82,0.82,0,0,0,2.46,0,2.46
 36-46,0,0,5.64,0,1.61,0,0.81,0,0,0,5.64,0.81,18.53,0,0,0,0,0,7.25,0,0
 48-58,0,1.15,5.16,0,2.87,0,0,0.57,0,0,5.16,0,10.9,0.57,0,0.57,0,0,1.72,0,0.57
 60-70,0,1.96,14.72,0.98,2.94,0.98,0,0,0.98,0,6.87,0.98,16.69,0,0,0.98,0,0,0.98,0.98,0.98
 72-82,0,0,3.93,0.98,0.98,0,0,0,0,0,8.83,0,6.87,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,4.25,0,3.19,1.06,1.06,0,0,0,5.31,1.06,4.25,0,1.06,4.25,0,0,0,0,1.06
 96-106,0,1.09,2.19,0,5.46,0,0,0,0,0,6.56,2.19,3.28,2.19,0,0,0,0,0,0,1.09
108-118,0.77,0.77,0,0,3.83,0.77,0,0,0,0,3.06,0.77,4.6,0,0.77,2.3,0,0,0.77,0,0.77
120,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0
