stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,28.32,0,59.79,0,0,3.15,0,0,0,0
 14-21,5,1,0,0,0,1,3,2,4,2,1,7,0,9,1,5,23,0,0
 24-34,0,0,0,0,0.82,3.28,0.82,0,0.82,4.1,0,0,0.82,0,0,1.64,10.67,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,2.42,0.81,0,0,0,0,0,12.89,0,0
 48-58,0,0,0,0.57,0,0,0,2.3,0.57,3.44,0,0,0,0,0,0,18.94,0,0
 60-70,0,0,0,0,0,0,0.98,1.96,0,4.91,0,0,0,0,0,0,13.74,0,0.98
 72-82,0,0,0,0,0,0.98,0,0,0.98,1.96,0,0,0,0,0,0,4.91,0.98,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,1.06,0,0,0,0,0,0,7.43,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,0,0
