stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,53.36,0,1.64,0,73.06,0.82,0,0,0,0,0,0,2.46,0.82,0,0,22.98,0,0,0.82,0,0,0.82,0.82,3.28,0,0,0.82,0,0
 36-46,0,0,0,5.64,0,2.42,0,115.21,1.61,1.61,0,0,0,0,0,1.61,0,0,1.61,16.92,0,0.81,0,0,0,2.42,0,4.03,0,0,0,0,0
 48-58,0,0,0,1.72,0,3.44,0,137.71,2.3,1.15,0,0,0,0,0,4.59,0,0.57,0,19.51,0,0,0,0,0.57,0,0,8.61,0,0,0,0,0
 60-70,0.98,0,0,1.96,0,4.91,0,127.6,0.98,4.91,0,0,0,0,0,10.8,0,0.98,4.91,20.61,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,5.89,0,135.47,7.85,13.74,0,0.98,0,0,0,32.39,0,1.96,5.89,19.63,0.98,0.98,0,0,0,0.98,0,0.98,0,0,0,0.98,0.98
 84-94,0,0,0,3.19,0,4.25,0,277.19,1.06,2.12,0,0,0,0,0,26.55,0,1.06,4.25,4.25,0,0,1.06,0,0,1.06,0,1.06,1.06,1.06,0,1.06,0
 96-106,0,0,0,4.37,0,5.46,1.09,290.7,5.46,22.95,1.09,2.19,2.19,0,2.19,56.83,0,7.65,6.56,17.49,0,0,0,0,0,2.19,0,6.56,0,0,3.28,0,3.28
108-118,0,0,0,3.83,0.77,2.3,0,382.22,2.3,11.49,0,0,0.77,0,1.53,40.6,0,2.3,8.43,19.15,0,0.77,0.77,0,0,0.77,0,1.53,0,0.77,0.77,0,2.3
120,0,0,0,5.88,0,7.84,1.96,278.29,3.92,13.72,1.96,0,0,1.96,0,29.4,0,1.96,5.88,9.8,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0
