stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,12.59,0,0,22.03,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,1,8,8,26,0,1,0,0,2,0,0,0,0,0,0,0,1,17,0,0,33,131,4,0,0,0,0,1,7,27,6,69,230,119,0,3,0,0
 24-34,0,0,0,0,5.75,1.64,0,2.46,0,3.28,4.1,0.82,0,0,3.28,0.82,0,0.82,0,12.31,0,0,7.39,129.7,0,13.13,2.46,0,0,0.82,0.82,0,0,3.28,14.78,70.59,0,2.46,0,0
 36-46,0,0,0,0,3.22,0,0,8.86,0,13.7,0,0,0,0,1.61,0,0,0,0,9.67,0,0,12.09,204.64,0,10.47,0.81,0,0,0,3.22,0,0,1.61,0,25.78,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,17.79,1.15,4.59,3.44,0,0,1.15,4.59,0,0,0,0,7.46,0,0.57,4.02,253.62,0,6.89,0,0,0,0,0.57,0,0,0,0,36.15,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,23.56,0,1.96,4.91,0.98,0,0,5.89,0,0,0.98,0,5.89,0,0,0.98,260.1,0,4.91,0.98,0,0.98,1.96,0.98,0,0,0,0,54.97,0.98,1.96,0,1.96
 72-82,0,0,0,0,2.94,0,0,35.34,0,1.96,4.91,0,0,0,18.65,0,0,0.98,0.98,16.69,0,0.98,0,259.16,0,4.91,1.96,0,0,1.96,0,0,0,0,0,26.5,0.98,0.98,0,0
 84-94,0,0,0,0,4.25,0,0,33.99,0,0,9.56,0,0,0,25.49,0,0,2.12,0,4.25,1.06,1.06,0,154,0,5.31,2.12,0,0,5.31,0,0,0,0,0,16.99,1.06,8.5,0,1.06
 96-106,0,0,0,0,10.93,1.09,0,24.04,0,3.28,16.39,1.09,0,1.09,28.41,0,0,5.46,1.09,12.02,0,0,2.19,112.56,0,8.74,6.56,0,0,1.09,1.09,0,1.09,0,0,4.37,0,2.19,0,0
108-118,0,0,0.77,0,1.53,0,0.77,17.62,0.77,0.77,21.45,0.77,0,0,9.96,0,0.77,3.06,4.6,18.38,0,0,0.77,168.51,0,4.6,2.3,0,0,1.53,0,0,0.77,0,0,3.06,0,1.53,0,0
120,0,0,0,0,0,1.96,0,11.76,0,1.96,19.6,0,0,0,13.72,0,0,1.96,9.8,15.68,0,0,0,178.34,0,9.8,0,0,0,0,0,0,1.96,0,0,1.96,0,3.92,1.96,0
