stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,44.69,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,126,0,11,1,0,0,3,0,5,0,6,10,97,0,0,0,0,0
 24-34,0,0,3.28,9.03,0,0,9.85,0,1.64,0,5.75,0,0,0,0.82,0.82,0,0,0,0.82,2.46,0,0,1.64,798.69,0,93.58,5.75,0,0,1.64,0,0,0.82,0,0,297.15,0,0,0.82,0,0
 36-46,0,0,4.03,3.22,0,0,15.31,0,0,0,5.64,0.81,0,0,0,0,0,0.81,0,0,6.45,0,0,0.81,1372.86,0,95.07,3.22,0,0,4.83,0.81,0,0.81,0.81,0,352.88,0,0,0.81,0,0
 48-58,0,0,3.44,5.74,0,0,125.09,0,0,0,25.25,0,0,0.57,0,0,0.57,0.57,0.57,0,12.05,0.57,0,0,1726.58,0,77.46,2.87,0,0,6.89,0,0,0,0,0,365.51,0,0,2.3,0,1.72
 60-70,0,0,1.96,4.91,0,0,307.22,0,0,0,37.3,3.93,0.98,0,1.96,0,0.98,0,0.98,0,13.74,0.98,0.98,1.96,2274.19,0,86.37,11.78,0,0,6.87,0,0,0,0.98,0,390.65,0.98,0,1.96,0,0
 72-82,0,0,15.71,14.72,1.96,0,374.99,0,0.98,0,53.01,12.76,0,0,0.98,0.98,3.93,0,0,0,25.52,0,0,1.96,2353.04,0,155.1,28.47,0,0.98,0.98,0,0,0,0,0,280.76,4.91,0.98,6.87,0,0
 84-94,0,0,19.12,24.43,1.06,0,267.63,0,1.06,1.06,42.48,12.74,0,1.06,3.19,1.06,5.31,2.12,0,0,26.55,0,0,3.19,1175.68,0,190.1,39.3,0,0,11.68,0,0,0,0,0,170.99,9.56,1.06,3.19,1.06,1.06
 96-106,0,0,26.23,31.69,2.19,1.09,224.03,0,2.19,1.09,54.64,30.6,0,0,2.19,4.37,4.37,6.56,4.37,0,20.76,3.28,0,4.37,1051.32,0,275.4,46.99,0,0,15.3,2.19,0,0,0,0,79.78,14.21,0,5.46,1.09,1.09
108-118,0,0,27.57,18.38,3.06,2.3,166.98,0.77,1.53,0,38.3,9.96,0.77,0,3.83,0,1.53,0.77,3.06,0,19.92,2.3,0,0.77,1128.26,0,185.36,29.11,0,0,14.55,0,0,0.77,0,0,62.81,24.51,0,4.6,0.77,0.77
120,0,0,7.84,19.6,7.84,1.96,123.47,0,1.96,0,56.83,11.76,0,0,1.96,0,1.96,1.96,0,0,23.52,0,0,1.96,1126.88,0,152.86,25.48,0,0,9.8,0,0,3.92,0,0,68.59,13.72,0,0,0,0
