stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
 24-34,0,0,0,0,0,0,0,0.82,0.82,0,0.82,0,0,7.39,0.82,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,4.03,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0.57,0,0,3.44,0,1.72,0,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0,3.93,0,0,0,0,0,0.98,0,0
 72-82,0,0.98,0.98,1.96,0,0,0,0,0.98,0,0,0,0,9.82,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,1.06,1.06,0,1.06,1.06,1.06,0,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,3.28,0,0,2.19,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,1.53,0,0.77,0,1.53,0.77,0,3.83,0,0.77,0,0,0,0,0,0
120,0,0,1.96,1.96,9.8,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0
