stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,8,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,37.76,2.46,1.64,0.82,0,0,0,20.52,0,0,0,0,2.46,0,0,0.82,6.57,0.82,0,0,0,21.34,0,3.28,0,0,4.93,0
 36-46,0,16.92,0,0,3.22,0,0,0.81,21.75,0,0,0,0.81,4.83,0.81,0,0.81,10.47,0.81,0,0,0,53.17,0,1.61,0,0,0.81,0
 48-58,0,13.2,0,2.87,3.44,0,1.15,0,30.41,0.57,0.57,0,0,4.02,0,0,0.57,10.9,0,0,0,0,35,0,2.3,0,0,2.87,0
 60-70,0,16.69,0,2.94,6.87,1.96,0,0,38.28,0,0,0,0,2.94,0,0.98,0,6.87,0.98,0,0,0.98,83.43,0,0,0,0,3.93,0
 72-82,0,15.71,1.96,1.96,4.91,0,0,0,65.77,0.98,0,0,0,5.89,0,0,0.98,15.71,0,0.98,0,1.96,79.51,0.98,0,0,0.98,7.85,0
 84-94,0,39.3,2.12,3.19,18.05,0,0,0,89.21,1.06,0,0,0,4.25,3.19,0,1.06,8.5,0,0,0,0,217.72,0,0,0,0,6.37,0
 96-106,0,30.6,3.28,3.28,2.19,0,1.09,0,122.4,0,0,1.09,0,2.19,0,1.09,0,7.65,1.09,0,0,1.09,143.16,0,0,1.09,0,7.65,0
108-118,0,28.34,0,1.53,14.55,0,1.53,0,88.85,1.53,0,0,0,0.77,1.53,0,0,2.3,0,0,0,1.53,120.26,0,0,0,0,7.66,0.77
120,0,52.91,1.96,1.96,13.72,0,1.96,0,109.75,0,0,0,0,3.92,1.96,0,1.96,1.96,0,0,0,1.96,154.82,0,0,0,0,11.76,0
