stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,0
 14-21,1,0,1,0,0,0,1,2,2,2,0,0,1,4,0,1,7,0
 24-34,0,0,0,0.82,0,0.82,0.82,0,4.93,0,0.82,0,0,0,0,1.64,3.28,0
 36-46,0,0.81,0,6.45,0,0,1.61,0.81,4.03,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.15,4.02,0,0.57,0.57,0,1.72,0,0,0,0,0,0,0,1.15,0.57
 60-70,0,0,0,1.96,0,0.98,0,0,5.89,0,0,0,0,0,0,0,0,0
 72-82,0,2.94,1.96,0.98,0,1.96,0,0,2.94,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,1.06,0,0,0,1.06,0,4.25,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0.77,1.53,0.77,1.53,0.77,1.53,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,0
