stage,epidermis,eye,fin.mesenchyme,glial,immune,lateral.line,liver,mesenchyme,muscle,neural,olfactory,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,1,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0
 24-34,0,0.82,0,0,0.82,0,0.82,0,1.64,5.75,1.64,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,17.72,7.25,2.42,0,2.42,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,10.9,5.74,0.57,0,2.3,0,0
 60-70,0,0,0,0,0,0,0,0,0,17.67,3.93,0.98,0,2.94,0,0
 72-82,0,2.94,0,0.98,0,0,0,1.96,0,14.72,9.82,0.98,0,0.98,0,0.98
 84-94,0,1.06,0,1.06,0,0,0,0,0,6.37,8.5,1.06,0,1.06,0,0
 96-106,0,1.09,1.09,1.09,0,0,0,0,0,10.93,13.11,0,0,2.19,0,0
108-118,0.77,0,0,0.77,0,0.77,0,0,0,6.13,9.19,0.77,0,1.53,0,0
120,0,0,0,0,0,0,0,0,0,5.88,11.76,0,0,3.92,1.96,0
