stage,axial,blastomeres,epidermis,erythrocytes,eye,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,taste,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,2.94
 84-94,0,0,0,0,0,3.19,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,4.37,0,0,1.09,0,1.09,0,0,1.09
108-118,0,0,0,1.53,0,3.83,0.77,0.77,0,0,0,0,0,2.3
120,0,0,1.96,1.96,0,3.92,0,0,0,0,0,0,1.96,3.92
