stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,3,0,0,0,0,10,0,0,0,0,0
 24-34,0,0,0.82,0,0,5.75,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0.82,0,0,0,130.52,0,25.45,0,0,0,0.82,40.22,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,4.03,0,0,0.81,1.61,0,0,0,0,0,0,0,0,1.61,0,0.81,1.61,369,0,32.23,0,0,0.81,0,37.87,0,0,0,0,0.81
 48-58,0,0,0,1.15,0,30.41,0,0,0,2.87,0,0,0,0,0.57,0,0,1.15,10.9,0,1.15,0,476.26,0,20.66,0,0,1.15,0,33.85,0,0,0,0,1.15
 60-70,0,0,0,2.94,0,77.54,0,0.98,0,6.87,0.98,1.96,0,0,0,0,0.98,0,4.91,0,0,2.94,958.95,0.98,20.61,0,0,0.98,0,47.11,0,0,0.98,0,0
 72-82,0,0,0.98,6.87,3.93,165.9,0,0.98,1.96,13.74,0.98,1.96,1.96,0,0,0,0,0,13.74,0,0,0.98,973.81,0,53.99,0.98,0,0,0,38.28,0,0.98,3.93,0.98,0.98
 84-94,0,0,0,5.31,0,126.38,1.06,0,0,13.81,2.12,0,2.12,0,0,0,0,0,6.37,0,1.06,2.12,473.67,0,52.04,0,0,4.25,0,29.74,0,0,1.06,1.06,0
 96-106,1.09,0,4.37,5.46,0,135.51,1.09,0,0,19.67,5.46,0,0,0,0,0,0,0,12.02,0,0,1.09,417.47,0,56.83,2.19,0,2.19,0,13.11,1.09,0,1.09,1.09,2.19
108-118,0,0,2.3,3.06,0,85.79,0.77,0.77,0.77,19.15,2.3,0.77,1.53,0.77,0,1.53,0.77,0,7.66,0.77,0,0,484.85,0,47.49,0,0,1.53,0,9.19,1.53,0,1.53,0.77,0.77
120,0,0,3.92,7.84,0,58.79,0,0,0,25.48,0,0,1.96,0,1.96,0,1.96,0,9.8,0,0,1.96,572.26,0,48.99,0,0,1.96,0,13.72,0,0,0,0,0
