stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,6,2,1,0,0,43,0,0,0,0,0,0,2,0,36,1,3,9,4,0,55,0,3,136,0,0
 24-34,0,0,0.82,3.28,0,0,0.82,0,41.86,0,0,0,0,0.82,0,2.46,0,16.42,0,21.34,2.46,0,0.82,44.33,0.82,1.64,97.68,0,0
 36-46,0,0,0,1.61,0,1.61,0.81,0,16.11,0,0.81,0,0,0,0,0,0,21.75,0,19.34,1.61,0,0,15.31,0,0,50.76,0,0
 48-58,0,0,0,1.72,0,1.15,0,0,20.08,0,0,0.57,0,0,1.72,0,0,19.51,0,16.07,4.02,0,0,5.74,0,0,41.89,0,0
 60-70,0,0,0,0,0,2.94,0.98,0.98,19.63,0,0,0,0,0,6.87,0,0.98,37.3,0,22.58,11.78,0,0,6.87,0,0,30.43,0,0.98
 72-82,0,1.96,0,0,0.98,3.93,0,0,26.5,0,0,1.96,0,0,10.8,1.96,0,25.52,0,30.43,20.61,0,0,2.94,0,0,23.56,0,0
 84-94,0,2.12,1.06,1.06,0,5.31,1.06,0,24.43,1.06,0,5.31,0,0,7.43,0,0,13.81,0,37.17,38.23,0,0,13.81,0,0,19.12,0,0
 96-106,0,2.19,2.19,0,0,4.37,2.19,0,9.84,0,0,8.74,1.09,0,16.39,1.09,1.09,14.21,0,62.29,31.69,0,0,3.28,0,0,16.39,0,0
108-118,0,1.53,0.77,2.3,0,0,0,0,13.02,0,0,3.83,0,0,11.49,0,0,19.15,0,32.17,18.38,0,0,5.36,0,0,10.72,0,0
120,0,0,0,5.88,0,0,1.96,0,3.92,0,0,7.84,0,0,11.76,0,0,13.72,0,23.52,23.52,0,0,7.84,0,0,11.76,1.96,0
