stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,66.09,3.15,0,0,28.32,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,1,3,11,14,0,10,0,0,0,2,1,0,1,0,0,0,0,0,0,7,0,0,5,93,5,0,0,0,0,2,5,3,2,8,50,0,0,1,0,0
 24-34,0,0.82,0.82,9.03,5.75,0,20.52,0,2.46,0,5.75,0,0,2.46,0.82,3.28,0,0,1.64,1.64,15.6,0.82,0,2.46,322.6,3.28,7.39,6.57,0,0.82,15.6,0,4.93,0.82,2.46,99.32,0,0,7.39,0,0.82
 36-46,0,0.81,0,7.25,0.81,0,50.76,0,0.81,0.81,13.7,0,0,1.61,0,2.42,0.81,0.81,0.81,3.22,22.56,0.81,0.81,6.45,650.98,0,8.86,3.22,0,0,12.09,0,1.61,0.81,0,149.05,0,0,9.67,0,0.81
 48-58,0,0.57,0,6.31,2.3,0,147.47,1.72,1.72,0,27.54,0,0,1.72,2.3,1.72,2.3,1.72,0.57,1.15,36.72,1.15,0.57,6.89,802.18,2.3,6.31,3.44,1.15,0,8.61,0,1.15,0.57,0,150.91,0,0,2.3,0,3.44
 60-70,0,0.98,0,7.85,3.93,0,304.27,1.96,4.91,0,33.37,1.96,0.98,0,3.93,2.94,0,1.96,0.98,0.98,44.17,0.98,0.98,1.96,1018.82,0,3.93,1.96,0,0.98,11.78,0,1.96,2.94,0,126.62,0,0.98,4.91,1.96,0.98
 72-82,0,1.96,0,15.71,21.6,0,543.84,0,3.93,3.93,53.99,3.93,0,0,4.91,3.93,1.96,2.94,0,0,81.48,0.98,2.94,7.85,1106.33,0,9.82,6.87,0,1.96,12.76,0,1.96,1.96,0,95.22,0.98,1.96,12.76,3.93,2.94
 84-94,0,2.12,0,24.43,15.93,0,381.27,2.12,5.31,0,44.61,9.56,1.06,4.25,11.68,1.06,4.25,2.12,0,1.06,60.54,2.12,7.43,3.19,614.92,1.06,13.81,9.56,0,1.06,42.48,0,2.12,0,0,56.29,2.12,4.25,9.56,2.12,0
 96-106,0,2.19,0,33.88,15.3,1.09,342.06,2.19,7.65,3.28,48.09,13.11,0,3.28,13.11,4.37,2.19,5.46,2.19,0,67.76,4.37,3.28,5.46,514.73,2.19,16.39,18.58,0,3.28,55.74,0,0,0,0,26.23,1.09,3.28,10.93,2.19,6.56
108-118,0,1.53,0,17.62,15.32,2.3,234.38,0.77,12.26,0.77,39.06,12.26,0,0,19.15,7.66,5.36,3.83,4.6,0.77,34.47,2.3,2.3,6.13,578.3,0.77,9.19,12.26,0,0,30.64,0,4.6,0.77,0,19.15,4.6,3.06,14.55,0.77,6.13
120,0,3.92,0,45.08,19.6,0,192.06,1.96,1.96,0,45.08,9.8,0,1.96,15.68,7.84,0,5.88,3.92,0,25.48,0,1.96,1.96,574.22,0,17.64,5.88,0,1.96,29.4,0,0,0,0,23.52,3.92,3.92,11.76,1.96,1.96
