stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,404.56,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,9.44,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,232.88,12.59,0,0,163.64,0,0,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,12,1,0,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,229,1,6,2,1,0,0,1,18,0,5,12,181,0,0,0,0
 24-34,0,0,1.64,0,0.82,0.82,0,22.98,0,0.82,0,3.28,0,0,0,0,1.64,0,0,1.64,4.93,0,0,4.1,1383.14,0,26.27,2.46,0,0,0.82,0,0,0.82,1.64,0.82,299.61,0,1.64,0,0.82
 36-46,0,0,0,0,3.22,0,0,192.55,0.81,0,0,23.36,0,0,0.81,0,0,0,0,0.81,7.25,0,0,6.45,3399.12,0,13.7,2.42,0,0,2.42,0,0,0,0,0.81,540.6,0,1.61,0,0
 48-58,0,0,0.57,0,7.46,0,0,502.08,0,1.72,2.3,64.27,0,0,0,1.15,0.57,1.15,0,1.15,17.21,0,0,4.59,3282.74,1.15,7.46,0.57,0,0,2.3,0.57,0,0.57,0.57,0,622.58,0.57,3.44,0,1.72
 60-70,0,0,2.94,0,1.96,0,0,787.18,0,0,0,59.87,0,0,0.98,0,0,0.98,0.98,0,11.78,0,0.98,1.96,2438.1,0.98,8.83,0.98,0,0,6.87,0,0,0,0,0,372,0,2.94,0,0
 72-82,0,0,3.93,0,10.8,3.93,0,655.75,0,0.98,0.98,37.3,0.98,0,0.98,0.98,0,1.96,0,0,47.12,0,0.98,1.96,1607.96,0,8.83,1.96,0,0,0,0,0,0,0,0,155.1,0.98,0.98,2.94,0
 84-94,0,0,3.19,0,18.05,1.06,0,576.69,0,1.06,1.06,41.42,1.06,0,2.12,1.06,1.06,0,1.06,0,25.49,0,3.19,2.12,832.64,1.06,10.62,0,0,0,1.06,0,0,1.06,2.12,0,105.14,2.12,3.19,1.06,1.06
 96-106,0,0,0,0,17.49,1.09,0,296.16,1.09,0,0,22.95,0,0,1.09,1.09,0,0,0,1.09,24.04,0,1.09,2.19,648.06,1.09,7.65,0,0,0,1.09,0,0,2.19,0,0,33.88,0,1.09,1.09,0
108-118,0,0,2.3,0,9.96,1.53,0.77,232.09,0,0,0.77,20.68,3.06,0,0,0,1.53,0.77,0,1.53,16.85,0.77,0,0,863.24,0.77,9.96,0.77,0,0,5.36,0,0,0.77,0,0,31.4,0.77,1.53,0,1.53
120,0,0,0,0,17.64,0,0,223.42,0,5.88,0,35.28,0,0,1.96,1.96,1.96,0,0,1.96,15.68,0,0,0,787.83,0,9.8,1.96,0,1.96,0,0,0,1.96,0,0,21.56,0,0,1.96,0
