stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,91.94,380.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,28.92,0,70.98,0,0,26.29,0,0,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,262.87,26.29,0,0,207.67,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,59.79,0,12.59,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,248.61,22.03,0,0,169.94,0,3.15,3.15,37.76,0,0,0,0,0
 14-21,0,1,2,3,3,1,0,0,3,0,0,0,0,0,0,0,0,1,8,0,0,6,27,2,0,0,2,1,0,7,0,2,26,4,0,0
 24-34,0,0,0,0,2.46,4.93,0.82,0.82,2.46,0.82,0,1.64,0.82,0,0.82,0,0.82,0,25.45,0.82,0,8.21,46.79,0,0,0.82,0,6.57,0,0,0,3.28,11.49,14.78,0,0.82
 36-46,0,0,0,3.22,0.81,3.22,0,0,3.22,0,0,0,0,0.81,0.81,0,0,0,12.09,0,1.61,6.45,15.31,0,0.81,0,0,3.22,0,0.81,0.81,0,6.45,2.42,0,0
 48-58,0,0,0,2.3,0,4.59,0.57,0,0.57,0,0,0,0.57,0,2.3,0,0,0,20.08,0,1.15,2.87,12.05,0,0,0,0,6.31,0,0,0,0,4.59,2.3,0,0.57
 60-70,0,0,0,6.87,0,4.91,0,0,1.96,2.94,0,0,1.96,0,2.94,0,3.93,0.98,9.82,0,1.96,0.98,12.76,0.98,0,0,0,10.8,0,0,0,0,1.96,0,0.98,0
 72-82,0,0,0,1.96,0,2.94,0,1.96,2.94,0.98,0,0.98,1.96,0.98,2.94,0,0,0,16.69,0.98,0.98,1.96,2.94,0,0,0,0,7.85,0,0,0,0,0,3.93,0,1.96
 84-94,0,0,0,5.31,0,4.25,1.06,0,0,0,0,0,1.06,0,6.37,0,1.06,0,10.62,0,1.06,3.19,11.68,1.06,0,0,0,22.3,0,0,1.06,0,0,2.12,0,0
 96-106,0,0,0,5.46,0,3.28,0,0,1.09,2.19,0,0,0,2.19,1.09,0,0,0,12.02,0,0,0,7.65,0,0,2.19,0,13.11,0,0,0,0,0,6.56,0,0
108-118,0,0,0,3.06,0.77,3.06,0,0.77,3.83,1.53,0,0,0.77,0,5.36,0,1.53,0,6.89,0,0,3.06,4.6,0,0,0,0,5.36,0,0,0,0,0,6.13,0,0
120,0,0,0,9.8,7.84,3.92,0,0,5.88,3.92,0,0,5.88,3.92,3.92,1.96,0,0,15.68,0,0,5.88,19.6,0,0,1.96,0,15.68,0,0,0,0,0,1.96,0,0
