stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,39.53,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,24.52,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0
  7-9,10.51,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,94.63,2.63,0,0,26.29,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,25.18,3.15,0,0,6.29,0,12.59,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0.82,0,0,0,4.93,0,0.82,0.82,0,4.1,0,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,4.03,0,0,0,0,0,0,0.81,0.81,0,0
 48-58,0,0,0,1.15,0.57,0.57,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,1.15,0.57,0,1.15,0,0
 60-70,0,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0.98,0.98,0,0,0,0,0,0,0,7.85,0,0,0,0,2.94,0,0,0.98,0.98,0.98
 84-94,0,0,1.06,1.06,0,0,1.06,0,0,0,1.06,2.12,0,0,0,3.19,1.06,0,1.06,0,7.43,0,0,1.06,1.06,0
 96-106,0,0,2.19,2.19,0,1.09,0,0,0,0,0,0,0,0,0,8.74,2.19,0,0,0,17.49,0,0,1.09,0,0
108-118,0,0,0.77,0.77,0.77,0,0,0,0,0,0,1.53,0.77,0,0,3.06,0,0,0,0,13.02,0,0,0,0,0
120,0,0,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,13.72,0,0,0,0,0
