stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,3
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,4.59,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,25.52,0,0,0,0,0,0,0,0.98,0,0,5.89,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,78.53,0,0,0.98,0.98,0,0,0,0,0,0,3.93,0,0,0,12.76,0.98,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,105.14,0,0,0,1.06,0,0,0,0,0,0,2.12,0,1.06,0,6.37,0,0,0,0,2.12,0,0,1.06,0,0,0,0
 96-106,0,0,16.39,2.19,162.83,3.28,0,0,6.56,0,0,2.19,1.09,4.37,1.09,10.93,1.09,2.19,1.09,21.86,0,1.09,3.28,0,3.28,0,0,0,1.09,0,1.09,1.09
108-118,0.77,0,0.77,1.53,148.6,0,0,0,5.36,0,0.77,0.77,0,1.53,0,18.38,0,0,3.83,22.98,0,0,0,0,3.06,0.77,0,0.77,0,0.77,0.77,3.06
120,1.96,0,7.84,1.96,221.46,0,1.96,0,1.96,1.96,0,3.92,1.96,1.96,0,19.6,0,3.92,7.84,31.36,0,0,0,0,5.88,1.96,0,1.96,0,0,0,1.96
