stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,1.64,4.93,0.82,0,5.75,0,0,0,0.82,0.82,0,0,0,0,0.82,65.67,0,4.93,0.82,0,3.28,41.86,0,1.64,0,0,0,1.64,0,0,0.82,1.64,13.95,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0.81,0,5.64,0,0,1.61,0.81,0,0,0,0,0,0,33.03,0,1.61,0,0,1.61,16.92,0,0,0.81,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,1.72,0.57,0,12.62,0.57,0,0,3.44,9.18,0,0,0,0,0,46.48,0.57,6.31,0,0,0.57,21.8,0,0,0,0,0,1.15,0,0,0,0,5.74,0,0,0,0,0
 60-70,0,0,0,0,2.94,0.98,0,19.63,0,1.96,0,3.93,42.21,0.98,0,0,0,0,86.37,0,11.78,0,0,0,34.35,0,0.98,0.98,0,0,0.98,0,0,0,0,5.89,0,0,0,0,1.96
 72-82,0,0,2.94,0,10.8,7.85,0,99.15,0.98,1.96,3.93,29.45,200.26,0.98,3.93,1.96,1.96,2.94,198.3,0,42.21,3.93,0,6.87,214.98,0,5.89,5.89,0,0,13.74,0,1.96,0,0,7.85,2.94,0.98,6.87,1.96,4.91
 84-94,0,0,3.19,1.06,13.81,8.5,1.06,55.23,0,2.12,0,16.99,377.02,2.12,10.62,1.06,2.12,1.06,541.64,1.06,35.05,0,0,9.56,175.24,3.19,2.12,1.06,0,1.06,31.86,0,1.06,0,0,8.5,1.06,1.06,8.5,1.06,5.31
 96-106,1.09,0,6.56,3.28,92.89,85.24,7.65,280.86,8.74,17.49,18.58,101.63,518.01,8.74,32.79,19.67,6.56,15.3,853.51,2.19,228.4,10.93,6.56,29.51,639.32,5.46,20.76,8.74,0,3.28,159.56,0,2.19,4.37,0,18.58,15.3,8.74,51.36,17.49,15.3
108-118,0,0,3.83,5.36,85.02,30.64,17.62,225.19,5.36,21.45,8.43,95.75,552.26,2.3,19.92,12.26,14.55,8.43,1580.95,6.89,232.09,4.6,9.96,29.11,710.05,8.43,13.79,12.26,0,3.83,93.45,0,5.36,3.06,0,13.02,4.6,5.36,28.34,6.89,11.49
120,0,0,3.92,0,48.99,29.4,9.8,127.39,3.92,15.68,7.84,47.03,433.11,3.92,19.6,3.92,3.92,3.92,891.7,1.96,90.15,0,5.88,15.68,517.38,3.92,9.8,7.84,0,1.96,27.44,0,5.88,0,0,11.76,1.96,1.96,17.64,1.96,5.88
