stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,103.43,0,0,0,0,0,2.46,0,1.64,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,4.83,78.96,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0.57,0.57,88.37,0,0,4.02,57.38,0,0,0.57,0,0,0.57,1.15,1.72,0,0
 60-70,0,0,3.93,0,0,7.85,0,0.98,0,0,0,0.98,0,0,0,0,0,334.7,0,0.98,7.85,37.3,0,0,0,0,0,0.98,3.93,0,0,0
 72-82,0,0,7.85,0.98,0,12.76,0.98,0,1.96,3.93,0,0,0,0,0,1.96,0,650.84,0,0.98,15.71,37.3,0,0,1.96,0,0,1.96,9.82,0.98,1.96,0.98
 84-94,0,0,12.74,0,0,31.86,0,0,0,2.12,0,0,0,1.06,0,1.06,0,568.19,2.12,1.06,15.93,52.04,1.06,0,1.06,1.06,0,1.06,8.5,1.06,1.06,0
 96-106,0,1.09,15.3,2.19,1.09,9.84,1.09,1.09,0,1.09,0,1.09,6.56,0,0,1.09,0,349.71,0,0,17.49,22.95,1.09,0,0,0,0,1.09,20.76,3.28,0,0
108-118,0,0,13.02,0,0,9.96,0.77,2.3,0,0,0.77,0,3.06,0,0.77,1.53,0,267.32,3.83,0,13.02,26.81,0,1.53,0,0,0,0,19.92,1.53,0,0
120,1.96,0,19.6,0,1.96,7.84,0,3.92,0,9.8,1.96,0,5.88,0,0,3.92,0,342.96,3.92,0,11.76,37.24,0,0,3.92,0,0,0,31.36,1.96,0,0
