stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1265.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,551.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.5,3.15,0,0,22.03,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,2,16,0,0,0,5,0,0,0,0,1,0,0,1,4,0,0,2,340,0,0,0,2,0,0,1,6,0,0,7,139,0,0,0,0,0
 24-34,0.82,0,0,0,4.1,0,29.55,0,0,0.82,9.03,0,0,0,0,0,0,0,0,9.03,0,0,3.28,393.19,0,2.46,0,0,0.82,0.82,0,0,0,0.82,2.46,150.22,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,1.61,33.84,0,0.81,0.81,15.31,0,0,0,0,0,0,0,0,11.28,0,0.81,1.61,731.55,0,4.03,0,0,0,1.61,0,0,0,0,0,199.81,0,0,2.42,0,0
 48-58,0,0,0,0,1.15,0,80.33,0,0.57,0,20.66,0,0.57,0,0,0,0.57,0,0.57,12.05,0,1.15,3.44,771.77,0.57,1.15,0,0,0,1.72,0,0,0,0,0,216.32,0,0.57,0.57,0,1.15
 60-70,0,0,0,0,4.91,0,206.12,0.98,0.98,0,37.3,0,0,0,0.98,0,0,0,0,9.82,0,0,0.98,1107.16,0,0,0,0,0,0.98,0,0,0,0,0,239.49,0.98,0,0,0,0
 72-82,0,0,0,0.98,6.87,2.94,235.6,0,0,0,39.27,0,0,0.98,0,0,0.98,0,0,26.5,0,0.98,0,814.78,0,2.94,0,0,0,0.98,0,0,0,0,0,124.67,0,0,1.96,0,0.98
 84-94,0,0,1.06,0,4.25,4.25,160.37,0,0,1.06,28.68,0,0,0,0,1.06,1.06,0,0,11.68,1.06,2.12,1.06,464.11,0,0,2.12,0,0,7.43,0,0,0,0,0,71.16,0,0,0,1.06,1.06
 96-106,0,0,0,0,4.37,3.28,92.89,0,3.28,1.09,28.41,1.09,0,1.09,2.19,3.28,0,1.09,0,19.67,0,0,2.19,343.15,0,2.19,1.09,0,0,6.56,0,0,0,0,0,34.97,0,1.09,1.09,0,0
108-118,0,0,0,0,4.6,2.3,72,0.77,0.77,3.06,24.51,0,0,0,0,0.77,0.77,0,0,19.92,0,0,2.3,453.45,0,0.77,0.77,0,0,3.83,0,0,0,0,0,17.62,0,0,3.06,0,0.77
120,0,0,1.96,0,5.88,3.92,45.08,1.96,0,1.96,31.36,3.92,0,1.96,0,0,0,0,0,7.84,1.96,0,0,348.84,1.96,0,3.92,0,0,7.84,0,0,0,0,0,33.32,0,1.96,0,0,0
