stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,404.56,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,34.62,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,32,6,0,8,0,0,0,10,3,0,0,0,0,0,0,0,0,15,0,0,12,96,7,1,1,18,2,1,43,8,1,23,134,0,0,1,0,1
 24-34,0,0,0,0.82,4.1,0,0,6.57,0,0,0.82,20.52,0.82,0,0,0.82,0.82,0,0,0,0.82,12.31,0,0,7.39,107.53,0.82,1.64,1.64,0,9.03,0,0,8.21,0.82,3.28,98.5,0,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,0,3.22,0,0,1.61,8.06,0,0,2.42,0,0,0.81,0,0,0,7.25,0,0.81,12.09,62.84,0,2.42,0,0,6.45,0,0,4.83,0,0.81,82.18,0,0,0,0,0.81
 48-58,0,0,0,0,3.44,0,0,17.21,0,0.57,2.3,11.48,0.57,0.57,0.57,0,0,0,0.57,0,0,14.35,0,0,4.02,83.78,0,1.15,0,0,4.59,0,0,4.02,0,0,64.27,0,0,1.15,0,0.57
 60-70,0,0,0,0,1.96,0,0,38.28,0,0.98,0.98,22.58,0,0,0,0.98,0.98,0,0,0,0,14.72,0,0,2.94,159.99,0,4.91,0,0,4.91,0,0,0.98,0,0,59.87,0,0,2.94,0,1.96
 72-82,0,0,0,0,0.98,0,0,26.5,0,0.98,2.94,15.71,0,0,0,0,0.98,0.98,1.96,0,0,19.63,0.98,0.98,4.91,86.39,0,2.94,0,0,3.93,0,0,1.96,0,0,22.58,0,0,0,0.98,0
 84-94,0,0,0,1.06,6.37,1.06,0,18.05,0,1.06,0,9.56,1.06,0,1.06,1.06,1.06,0,0,0,1.06,5.31,0,1.06,0,42.48,0,1.06,0,0,9.56,0,0,5.31,0,0,13.81,0,2.12,2.12,1.06,0
 96-106,0,0,0,0,10.93,1.09,0,18.58,1.09,1.09,0,14.21,1.09,0,0,0,1.09,1.09,2.19,2.19,1.09,14.21,0,2.19,4.37,40.44,0,2.19,0,0,38.25,0,0,5.46,0,0,5.46,1.09,1.09,2.19,2.19,4.37
108-118,0,0,0.77,0,7.66,0,1.53,6.89,0,1.53,0,9.19,2.3,0,0,0,0,0.77,2.3,0,0,10.72,1.53,0.77,0.77,47.49,0,1.53,0,0,8.43,0,0,7.66,0,0,3.06,0,2.3,0,2.3,0.77
120,0,0,0,0,5.88,1.96,0,3.92,0,5.88,0,9.8,1.96,0,1.96,0,0,0,0,0,0,9.8,0,0,0,17.64,0,3.92,0,0,7.84,0,0,1.96,0,0,0,0,1.96,0,1.96,0
