stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0.82,0,0,0,0,0,30.37,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0.81,0,0,0,8.86,1.61,0.81,0,0,0,0,33.03,0,2.42,0,0,0
 48-58,0,0,0,0,0,6.31,0.57,0,0.57,0,0,0,0,0,4.02,0,0,0.57,7.46,0,1.72,0,0,0,0,49.92,0,1.72,0,0,0.57
 60-70,0,0,0,0,0,35.33,6.87,0,0,0,0,0,0,0,3.93,0,0,0,6.87,0,0.98,0,0.98,0,0,36.32,0,0.98,0,0,0
 72-82,0,0,0,0,0,75.59,10.8,0,2.94,0,0,0.98,0,0.98,10.8,0,0.98,0.98,19.63,0,4.91,0.98,0,0.98,0,27.49,0,1.96,0,0,0.98
 84-94,0,0,0,2.12,1.06,52.04,21.24,0,4.25,1.06,0,0,0,0,3.19,0,0,1.06,19.12,0,4.25,1.06,0,1.06,0,67.97,0,1.06,0,0,2.12
 96-106,0,1.09,0,0,1.09,27.32,18.58,1.09,5.46,0,1.09,1.09,1.09,0,9.84,1.09,0,2.19,15.3,0,1.09,0,0,3.28,0,77.59,0,0,0,0,0
108-118,0,0,0.77,1.53,1.53,13.02,26.81,0,0.77,0,0,0,0.77,0,7.66,0,0,0.77,14.55,0,2.3,0,0,1.53,0,76.6,0,0,0.77,0.77,0.77
120,0,0,0,1.96,0,5.88,15.68,0,3.92,0,0,0,0,0,3.92,0,0,0,15.68,0,0,1.96,0,0,1.96,23.52,0,0,0,0,0
