stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,2,38,2,0,0,0,0,0,0,0,10,0,0,1,0,1
 24-34,0,0,0,0.82,0,3.28,0,2.46,0,0.82,0,0.82,0,0,0,0,0,0,5.75,0,3.28,142.01,51.71,21.34,2.46,0,0,0,0.82,0,37.76,0,0,4.1,0,6.57
 36-46,0,0,0,0.81,0,7.25,0,0.81,0,6.45,0,0,0,0.81,0,0,0,0,11.28,0,14.5,366.58,75.73,37.87,0,0,0.81,0,0,0,103.13,0,0.81,1.61,0,3.22
 48-58,0,0,0,1.72,1.15,19.51,0,1.15,0,21.23,0,1.15,0,0,0.57,0,0,0,25.25,1.15,18.36,514.7,69.43,14.35,1.72,0,0.57,0,0,0.57,86.07,0,0.57,1.15,0,0.57
 60-70,0,0,0,5.89,0,120.73,1.96,0.98,0.98,114.84,0,0.98,0.98,0,0.98,0,0,0.98,62.82,3.93,24.54,1091.45,31.41,20.61,4.91,1.96,2.94,0,0,0.98,138.39,0,9.82,7.85,7.85,0
 72-82,0,0,0,3.93,0,201.24,0,0.98,0.98,150.19,0,0,0.98,0,0.98,0.98,0,0,89.33,2.94,31.41,874.66,22.58,29.45,7.85,0.98,0,0,0,0,94.24,2.94,22.58,11.78,30.43,0
 84-94,0,0,1.06,10.62,1.06,175.24,3.19,0,3.19,96.65,1.06,2.12,1.06,0,3.19,0,1.06,0,71.16,12.74,18.05,542.7,43.54,24.43,12.74,0,0,0,1.06,0,53.1,0,39.3,8.5,37.17,0
 96-106,0,0,0,7.65,3.28,128.96,2.19,0,1.09,111.47,0,5.46,1.09,0,0,0,1.09,1.09,93.98,7.65,20.76,382.5,14.21,45.9,26.23,2.19,1.09,0,0,1.09,28.41,1.09,30.6,10.93,37.16,0
108-118,0,0,0,7.66,0.77,91.15,0,0.77,0,89.62,0,2.3,0,0.77,0.77,0,0,0.77,90.38,10.72,21.45,414.39,13.79,32.94,14.55,2.3,1.53,0,0,0.77,19.15,3.83,17.62,8.43,14.55,0.77
120,0,0,0,9.8,0,74.47,1.96,3.92,1.96,94.07,0,1.96,1.96,0,0,0,1.96,0,111.71,11.76,17.64,491.91,9.8,21.56,23.52,1.96,0,0,0,0,9.8,0,19.6,5.88,27.44,0
