stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,26.36,1396.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,24.52,459.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,6.13,0,0,0,0,0,0
  7-9,0,0,0,13.14,0,0,0,2.63,0,0,0,0,13.14,0,0,0,0,0,0,0,184.01,5.26,0,0,63.09,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,191.97,0,0,0,94.41,0,0,6.29,0,0,0,0
 14-21,0,0,0,2,15,3,0,5,0,0,5,0,0,0,0,0,0,6,0,8,172,0,1,1,11,2,17,3,1,42,0,0
 24-34,0,0,0,0,2.46,0,0,18.06,0.82,0,4.1,0,0,0,0,0,0,12.31,0,0.82,189.62,0,1.64,2.46,0,4.1,0,0,0,34.48,0,0.82
 36-46,0,0,0,0,0,0,0,37.87,0,0,3.22,0,0,0,0,0,0,7.25,0,0,94.26,0,1.61,0,0,1.61,0,0,0,18.53,0,0
 48-58,0,0,0,0,1.15,0.57,0,30.99,0.57,0,3.44,0,0,0,0,0,0,4.02,0.57,0.57,24.1,0,1.15,0,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,0,0,36.32,0,0,3.93,0,0,0,0,0,0,1.96,0,0.98,19.63,0,0,0,0,0,0,0.98,0,1.96,0,0
 72-82,0,0,0.98,0,1.96,0,0.98,9.82,0,0.98,2.94,0,0,0,0,0,0,2.94,0.98,0,16.69,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,10.62,0,0,4.25,0,0,0,0,0,0,3.19,0,0,15.93,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,0,0,13.11,0,0,5.46,0,0,0,1.09,2.19,0,2.19,0,0,16.39,0,1.09,1.09,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0,11.49,0,0,5.36,1.53,0,0.77,0,0.77,0.77,2.3,1.53,1.53,14.55,0,0,0,0,0,0,0,0,0.77,0.77,0.77
120,0,0,0,0,1.96,0,0,3.92,0,0,1.96,0,0,0,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0
