stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26,7.89,0,0,2.63,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,15.73,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,14,4,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,0,1,13,3,0,0,1,0,2,3,0,6,3,0,0,3,0,0
 24-34,0,0,0,9.85,0,0,0.82,2.46,0,0,0,0,0,2.46,0,0,0,1.64,5.75,1.64,0,0.82,9.03,0,0.82,0,0,0,23.8,0,0,2.46,0.82,0,0,5.75,0,1.64
 36-46,0,0,0,3.22,0,0,1.61,0.81,3.22,0,0,0,0,0.81,0.81,0,0,1.61,4.03,0,0.81,1.61,4.83,0,0.81,1.61,0,0,14.5,0,0,0,0.81,0,0,4.83,0,0.81
 48-58,0,0,0,2.3,0,0,1.15,2.3,3.44,0,0,0,0,0.57,0,0,0,0.57,9.18,1.72,0,0,4.02,0.57,0,0,0,0,8.61,0,0,0,0.57,0,0,4.02,0,0
 60-70,0,0,0,1.96,0,0,1.96,0,0,0.98,0,0.98,0,4.91,0,0,0,0.98,20.61,0,0,0,4.91,0,0,0.98,0,0,6.87,0,0,0,1.96,0,0,3.93,0,0.98
 72-82,0,0,0,4.91,0.98,0,3.93,1.96,7.85,0.98,0.98,0,1.96,13.74,0.98,0.98,0,0,41.23,0,0,0.98,3.93,0,1.96,1.96,0,0,0.98,0,0,0,3.93,0,2.94,5.89,0,0
 84-94,0,0,0,10.62,1.06,0,7.43,1.06,6.37,1.06,4.25,1.06,1.06,10.62,1.06,0,1.06,1.06,21.24,0,1.06,2.12,2.12,2.12,0,0,0,0,5.31,0,0,0,1.06,2.12,1.06,3.19,0,0
 96-106,0,0,0,10.93,0,1.09,2.19,0,4.37,3.28,2.19,0,1.09,17.49,0,0,0,1.09,18.58,0,2.19,0,3.28,0,2.19,2.19,0,2.19,7.65,0,0,0,1.09,1.09,1.09,7.65,0,0
108-118,0,0,0.77,15.32,2.3,2.3,0,0,4.6,1.53,1.53,0,0.77,12.26,0,0,0.77,0,16.85,0,0,0.77,0.77,0.77,0.77,0.77,0,0.77,3.83,0,0,0,0,0,0,5.36,1.53,0
120,0,0,0,3.92,0,0,1.96,0,0,3.92,1.96,0,0,5.88,1.96,0,1.96,1.96,21.56,0,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0,0,3.92,0,9.8,0,0
