stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,iridophores,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0
 24-34,0,0.82,0,2.46,0,0.82,0,0,0,0,3.28,0,9.85,0,0,0,2.46,0,0,0
 36-46,0,0.81,0,5.64,0,0.81,0,0,0,0,0.81,0.81,10.47,0.81,0,0.81,0.81,0.81,0.81,0
 48-58,0,0.57,0.57,16.07,1.15,1.15,0,0,1.15,0,0.57,0.57,2.87,0.57,0,0.57,0.57,0,0.57,0
 60-70,0,0,0,24.54,0.98,1.96,0.98,0,0,0,0.98,0,5.89,0.98,0,0.98,0,0,0,0
 72-82,0,0.98,0,26.5,0,1.96,0,0,0,0.98,0.98,0,4.91,0,0,0,0.98,0,0,0.98
 84-94,0,0,0,18.05,0,0,0,0,0,0,3.19,0,4.25,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,15.3,0,2.19,0,0,0,0,2.19,1.09,3.28,0,0,0,1.09,0,0,0
108-118,0.77,0.77,0,8.43,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,0,9.8,0,0,0,1.96,0,0,9.8,0,7.84,0,0,0,0,0,0,0
