stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,9.44,0,0,40.91,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,4,2,0,1,0,0,0,0,1,1,0,0,0,0,18,0,0,12,13,6,0,0,6,0,1,78,2,1,35,5,0,0,4,0,0
 24-34,0,0,0.82,1.64,4.93,0.82,0,3.28,1.64,0,0,0,3.28,0,1.64,0,0.82,0.82,75.52,0,0,24.63,18.06,0,0,0,0,0,2.46,0.82,8.21,0,19.7,8.21,0,0,22.16,0,3.28
 36-46,0,0,0.81,0,1.61,0,0,3.22,1.61,0.81,0,1.61,1.61,0,1.61,0,0.81,0.81,80.57,0,1.61,24.17,13.7,2.42,0.81,0,0,0,1.61,0,3.22,0,0,4.03,0,0.81,6.45,0,4.83
 48-58,0,0,0,0,1.15,0,0,2.3,0,9.18,1.15,0,1.15,0,2.3,0.57,1.15,4.02,102.71,0,1.72,17.21,10.33,2.3,0,0,0,0,0,0,3.44,0,0,2.3,0,0,6.89,0,5.74
 60-70,0,0,0,0,0.98,0,0,4.91,0.98,3.93,4.91,3.93,0,0,0.98,0,1.96,0,97.17,0,3.93,6.87,4.91,0,0,0,0,3.93,0.98,0,1.96,0.98,0,0,0,0.98,7.85,0,4.91
 72-82,0,0,7.85,0,1.96,0,0,14.72,0,18.65,24.54,14.72,2.94,0.98,6.87,0,6.87,1.96,254.25,0,7.85,13.74,25.52,1.96,0,0,0,3.93,1.96,0,4.91,0,0,0.98,3.93,2.94,21.6,5.89,17.67
 84-94,0,0,4.25,0,10.62,0,0,7.43,5.31,8.5,7.43,28.68,3.19,2.12,11.68,1.06,27.61,4.25,139.13,0,8.5,9.56,11.68,4.25,0,2.12,0,0,0,0,11.68,0,0,5.31,1.06,3.19,21.24,4.25,15.93
 96-106,0,0,8.74,0,12.02,2.19,2.19,26.23,3.28,15.3,20.76,62.29,4.37,7.65,16.39,0,50.27,2.19,237.15,1.09,8.74,17.49,40.44,9.84,1.09,5.46,0,2.19,3.28,0,15.3,1.09,0,3.28,12.02,5.46,25.14,9.84,16.39
108-118,0,0,6.13,0,16.85,1.53,8.43,12.26,3.06,15.32,20.68,89.62,1.53,1.53,37.53,0,95.75,4.6,216,0.77,7.66,14.55,38.3,3.83,0.77,4.6,0,3.83,3.06,0,19.92,0.77,0,5.36,19.92,5.36,27.57,3.83,23.74
120,0,0,5.88,0,3.92,0,3.92,19.6,1.96,9.8,13.72,72.51,0,1.96,11.76,0,60.75,0,141.1,0,13.72,15.68,33.32,9.8,0,3.92,0,3.92,0,0,9.8,0,0,0,5.88,1.96,11.76,7.84,3.92
