stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,14,0,0,1,0,0,1,1,1,3,0,1,0,0
 24-34,0,0,0.82,0,2.46,0,0,0,0,0,0,0,0,0,2.46,0,0,15.6,1.64,0,0,0,1.64,0,0,0.82,3.28,0,0,0,0
 36-46,0,0,0.81,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,10.33,0,0,1.72,0,0,0,0,0,0.57,1.15,0,0.57,4.02,0,0.57,0,0,0,0,0,0,4.02,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,0,1.96,0,0,0,0,0,0,3.93,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,2.94,0,0.98,4.91,0.98,0,0,0.98,0.98,0,3.93,0,0,5.89,0,2.94,0,0,1.96,0,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,2.12,0,0,0,2.12,0,0,3.19,0,2.12,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,1.09,0,1.09,2.19,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,2.3,0.77,0,1.53,0,0,0.77,1.53,0,0,0,0.77,0,1.53,0,1.53,0.77,0,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
